rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
1,"spotify:track:4LRPiXqCikLlN15c3yImP7","Harry Styles","As It Was","Columbia",1,-1,1,"554644"
2,"spotify:track:1W1N3usYjgI3XGQA0iX9Vq","Miksu / Macloud, t-low","Sehnsucht","FUTURA",1,1,29,"465019"
3,"spotify:track:7ueVeEUspC7Q9guZgiRb59","Gzuz, Veysel, The Cratez","Riesenjoints","GOLD LEAGUE/RBK",3,-1,1,"377351"
4,"spotify:track:0h14I7cPYi1RZG6GmVpMso","CIVO","Weg von mir","Good Kid Records & VENTURA Records",1,2,64,"364609"
5,"spotify:track:1IPehjfuM8MXe6GIoen6Nl","Dardan","PARIS","Hypnotize Entertainment",5,-1,1,"362503"
6,"spotify:track:6kwTAVrensYnx7JqejwgeG","Kraftklub","Ein Song reicht","Vertigo Berlin",6,-1,1,"360673"
7,"spotify:track:6ggAvP0nLXpBKPeHAiM49t","O.G., Nimo","Baradar (feat. Nimo)","Epic/DOPE",7,-1,1,"328831"
8,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",1,3,458,"313040"
9,"spotify:track:3uBsCp12X74MIcqTItpz3i","NGEE, Kolja Goldstein","VON DA WO ICH KOMME","Bra Musik",9,-1,1,"304671"
10,"spotify:track:1HvTxgCj0mTzQlEo0zLvFb","Lil Tjay","In My Head","Columbia",10,-1,1,"302477"
11,"spotify:track:2D1hGSFBSTcKccY1FI3blA","IAM, Luciano","DUNYA (feat. Luciano)","Suburban",11,-1,1,"259053"
12,"spotify:track:2xSIcmvFQHs2CeS34Mgp62","Leony","Remedy","Kontor Records",4,4,54,"241525"
13,"spotify:track:1T5leQGZnrZgJMKcrzaG0I","Montez","Niemals ohne Dich","Vertigo Berlin",13,-1,1,"231760"
14,"spotify:track:3uUuGVFu1V7jTQL60S1r8z","Lost Frequencies, Calum Scott","Where Are You Now","Epic Amsterdam",3,5,246,"230215"
15,"spotify:track:3Oww84xrmgjyr5J1ilOmAf","Luude, Colin Hay","Down Under (feat. Colin Hay)","Sweat It Out",1,9,88,"228927"
16,"spotify:track:1HhNoOuqm1a5MXYEgAFl8o","Imagine Dragons, JID, Arcane, League of Legends","Enemy (with JID) - from the series Arcane League of Legends","Kid Ina Korner / Interscope",3,8,155,"218339"
17,"spotify:track:4RHDWNlp4yrk54rQATSiQK","Chapo102, 102 Boyz","MISSED CALLS","JINX Music",6,6,8,"216665"
18,"spotify:track:4fouWK6XVHhzl78KzQ1UjL","GAYLE","abcdefu","Atlantic/Arthouse Records",1,10,141,"215157"
19,"spotify:track:676y7h4kvhZVQdPcr9eOQc","Frauenarzt, Sido","T-Shirt & Jeans 2.0","Proletik",19,-1,1,"210423"
20,"spotify:track:2B4GHvToeLTOBB4QLzW3Ni","Farruko","Pepas","Sony Music Latin",2,15,232,"209441"
21,"spotify:track:0PoorhuDSZ7hgvFT7C6fgf","01099, CRO","Glücklich","01099",3,7,8,"208529"
22,"spotify:track:18asYwWugKjjsihZ0YvRxO","Tiësto, Ava Max","The Motto","Atlantic Records",10,12,147,"208451"
23,"spotify:track:58HvfVOeJY7lUuCqF0m3ly","Elley Duhé","MIDDLE OF THE NIGHT","Not Fit For Society/RCA Records",11,11,130,"201903"
24,"spotify:track:2gdixCR9XiixXSNeGQxWmm","Olexesh","DURAK","385ideal",24,-1,1,"193065"
25,"spotify:track:1SOClUWhOi8vHZYMz3GluK","Jaymes Young","Infinity","Atlantic Records",9,13,182,"193063"
26,"spotify:track:5Th2Rs48Gz3iqfcGMXG5PC","1986zig","Kopf aus","Good Kid Records & Polydor x Island Records",1,16,64,"189479"
