rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
1,"spotify:track:5ucyKDPjLpYLGadsRO1wSB","DJ Robin, Schürze","Layla","Polydor x Island Records & Kontor New Media & Summerfield Records",1,1,88,"561310"
2,"spotify:track:2q7jpVfCtcuRwcur9nQeuC","Liaze","PARADISE (MIT DIR)","VENTURA Records",2,2,35,"435517"
3,"spotify:track:0g2leZuI3jD5pRsrRIDvYe","Miksu / Macloud, makko","Nachts wach","FUTURA",3,5,25,"389762"
4,"spotify:track:6weT0OACEb3e4KLQJInf4I","Die Zipfelbuben, DJ Cashi","Olivia","Xtreme Sound Recordings",2,3,14,"386469"
5,"spotify:track:2XRn6Qu0Wd1KvOND8JbaTx","Luciano","Beautiful Girl","URBAN",1,4,95,"383317"
6,"spotify:track:4yNNFapUZM7aTElXE2JveQ","Luciano","Frozen Tears","URBAN",2,6,4,"350979"
7,"spotify:track:4zN21mbAuaD0WqtmaTZZeP","James Hype, Miggy Dela Rosa","Ferrari","Universal-Island Records Ltd.",4,7,74,"324917"
8,"spotify:track:2cg9zDi0rvj3HjKxvv2tvY","Kontra K, Sido, Leony","Follow","Letzte Wölfe",3,8,25,"299728"
9,"spotify:track:35DkXhxqTMiQB582tfjowU","Ion Miles, SiraOne, BHZ","Powerade","Sony Music/BHZ",2,10,102,"268085"
10,"spotify:track:75FEaRjZTKLhTrFGsfMUXR","Kate Bush","Running Up That Hill (A Deal With God)","Parlophone UK",2,9,66,"267110"
11,"spotify:track:53g6tgjn3Ex6o3Q8hcIxkG","Theo Junior","Ups & Downs","Theo Junior",9,12,18,"264772"
12,"spotify:track:7KWwQ8SokgUDO7es6Q4ZGW","ARY, Liaze","Ticket nach Ketama (feat. Liaze)","Good Kid Records & VENTURA Records",4,11,11,"262484"
13,"spotify:track:7k6aVgrtJqNTMVqk5yMWKD","Bonez MC, RAF Camora","Letztes Mal","187 Strassenbande",2,16,19,"245648"
14,"spotify:track:1W1N3usYjgI3XGQA0iX9Vq","Miksu / Macloud, t-low","Sehnsucht","FUTURA",1,14,151,"242756"
15,"spotify:track:3tjoq1CMR4YtSUegC5sbU8","RIN","Commitment Issues","GOLD LEAGUE/DIVISION",4,18,18,"234210"
