rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
1,"spotify:track:5aoj3AXkJ7K2h5r8mmD6FS","Pajel, Luciano, Headie One","10von10 - Remix","Epic/DOPE",1,3,2,"306924"
2,"spotify:track:20on25jryn53hWghthWWW3","ACRAZE, Cherish","Do It To It","Thrive Music, LLC",1,1,78,"306895"
3,"spotify:track:0pA0BVXTONNqSldC9FdiaU","Ufo361, Pashanim","allein allein","ADS THC",1,8,9,"295488"
4,"spotify:track:4fouWK6XVHhzl78KzQ1UjL","GAYLE","abcdefu","Atlantic/Arthouse Records",1,6,51,"282107"
5,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",1,10,368,"252461"
6,"spotify:track:6I36pBjiMiLQLF4cRMdtZ0","Samra, Lune","Pourquoi","Cataleya Edition",6,12,2,"236389"
7,"spotify:track:2B4GHvToeLTOBB4QLzW3Ni","Farruko","Pepas","Sony Music Latin",2,2,142,"233660"
8,"spotify:track:7rglLriMNBPAyuJOMGwi39","Elton John, Dua Lipa, PNAU","Cold Heart - PNAU Remix","EMI",5,5,135,"224508"
9,"spotify:track:5PjdY0CKGZdEuoNab3yDmX","The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)","Columbia",1,9,177,"216105"
10,"spotify:track:2xFMvrqk99biaLQavjufta","Sido","Mit Dir","Urban",1,17,44,"215553"
11,"spotify:track:50nfwKoDiSYg8zOCREWAm5","Ed Sheeran","Shivers","Atlantic Records UK",1,11,114,"204084"
12,"spotify:track:3uUuGVFu1V7jTQL60S1r8z","Lost Frequencies, Calum Scott","Where Are You Now","Epic Amsterdam",3,14,156,"203199"
13,"spotify:track:1r9xUipOqoNwggBpENDsvJ","Imagine Dragons, JID, Arcane, League of Legends","Enemy (with JID) - from the series Arcane League of Legends","KIDinaKORNER/Interscope Records",8,26,65,"200290"
14,"spotify:track:2FQRZLR31e3423Nmrgv0Pv","KUMMER, Fred Rabe","DER LETZTE SONG (ALLES WIRD GUT) (feat. Fred Rabe)","Eklat Tonträger",1,24,51,"183457"
15,"spotify:track:3rmo8F54jFF8OgYsqTxm5d","Ed Sheeran","Bad Habits","Atlantic Records UK",3,7,190,"178434"
16,"spotify:track:5Z9KJZvQzH6PFmb8SNkxuk","Lil Nas X, Jack Harlow","INDUSTRY BABY (feat. Jack Harlow)","Columbia",7,19,163,"175596"
17,"spotify:track:18asYwWugKjjsihZ0YvRxO","Tiësto, Ava Max","The Motto","Atlantic Records",16,16,57,"168101"
18,"spotify:track:4cG7HUWYHBV6R6tHn1gxrl","Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine","Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit","Ministry of Sound Recordings",3,4,323,"167362"
19,"spotify:track:5aYQ6eeE2qIDI4Nkp3P4DP","ART","Rubinroter Wein","23HOURS",10,31,16,"157690"
20,"spotify:track:0RSZ8EmUPEN3ySfCgytPke","Montez","Auf & Ab","Vertigo Berlin",1,33,156,"157179"
21,"spotify:track:6fuO9uk9wbjCHvQJqk2Qpx","Pashanim, skrilla","paris freestyle - skrilla remix","Urban",1,40,68,"154467"
22,"spotify:track:6OufwUcCqo81guU2jAlDVP","Shouse","Love Tonight - Edit","Hell Beach",7,15,201,"150495"
23,"spotify:track:1S4Ehm8b7O4n9lIy3uAMS1","Gzuz","Späti","187 Strassenbande",2,38,79,"146157"
24,"spotify:track:46IZ0fSY2mpAiktS3KOqds","Adele","Easy On Me","Columbia",1,37,79,"141286"
25,"spotify:track:1SOClUWhOi8vHZYMz3GluK","Jaymes Young","Infinity","Atlantic Records",20,45,92,"140120"
26,"spotify:track:7t3ZSHztE2QmX8uxRpz0Qx","Kurdo, NGEE","Butterfly (feat. NGEE)","ALMAZ",26,36,2,"138943"
27,"spotify:track:6Dy1jexKYriXAVG6evyUTJ","Joel Corry, Jax Jones, Charli XCX, Saweetie","OUT OUT (feat. Charli XCX & Saweetie)","Atlantic Records UK",13,13,140,"135520"
28,"spotify:track:2ez3Jmw9dFAJEGX1naEqBg","Jazeek","Blunt für dich","Good Kid Records & VENTURA Records",14,47,16,"130576"
29,"spotify:track:0VjIjW4GlUZAMYd2vXMi3b","The Weeknd","Blinding Lights","Republic Records",1,21,763,"129440"
30,"spotify:track:2Oi1IJ6JEUX1aya9VUAA1Z","RAF Camora, Bonez MC","Blaues Licht","Indipendenza",1,30,162,"128942"
31,"spotify:track:3eJH2nAjvNXdmPfBkALiPZ","Jason Derulo","Acapulco","Atlantic Records",23,23,120,"128390"
32,"spotify:track:1sa59Q9urE82MD3ELi44HN","Pajel","10von10","Epic/DOPE",1,46,141,"124348"
33,"spotify:track:4kLLWz7srcuLKA7Et40PQR","Black Eyed Peas","I Gotta Feeling","Interscope",18,18,127,"124063"
34,"spotify:track:4ZtFanR9U6ndgddUvNcjcG","Olivia Rodrigo","good 4 u","Olivia Rodrigo PS",1,35,232,"121323"
