rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
1,"spotify:track:4fouWK6XVHhzl78KzQ1UjL","GAYLE","abcdefu","Atlantic/Arthouse Records",1,1,82,"313361"
2,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",1,3,399,"310630"
3,"spotify:track:53O5nAlq04RKmSBqW0SFvG","Luude, Colin Hay","Down Under (feat. Colin Hay)","Sweat It Out",2,2,29,"307358"
4,"spotify:track:5Th2Rs48Gz3iqfcGMXG5PC","1986zig","Kopf aus","Good Kid Records & Polydor x Island Records",4,4,5,"273981"
5,"spotify:track:1r9xUipOqoNwggBpENDsvJ","Imagine Dragons, JID, Arcane, League of Legends","Enemy (with JID) - from the series Arcane League of Legends","KIDinaKORNER/Interscope Records",3,5,96,"266806"
6,"spotify:track:2xFMvrqk99biaLQavjufta","Sido","Mit Dir","Urban",1,6,75,"260087"
7,"spotify:track:20on25jryn53hWghthWWW3","ACRAZE, Cherish","Do It To It","Thrive Music, LLC",1,8,109,"244495"
8,"spotify:track:7gIOmimvjeQqookDmLKOrK","Pietro Lombardi","Vorbei","Polydor",1,7,5,"234973"
9,"spotify:track:3uUuGVFu1V7jTQL60S1r8z","Lost Frequencies, Calum Scott","Where Are You Now","Epic Amsterdam",3,9,187,"226448"
10,"spotify:track:5vUnjhBzRJJIAOJPde6zDx","Jnr Choi, Sam Tompkins","TO THE MOON","Jnr Choi/Epic",10,10,37,"220581"
11,"spotify:track:7rglLriMNBPAyuJOMGwi39","Elton John, Dua Lipa, PNAU","Cold Heart - PNAU Remix","EMI",5,12,166,"216180"
12,"spotify:track:1SOClUWhOi8vHZYMz3GluK","Jaymes Young","Infinity","Atlantic Records",9,11,123,"214847"
13,"spotify:track:50nfwKoDiSYg8zOCREWAm5","Ed Sheeran","Shivers","Atlantic Records UK",1,13,145,"213207"
14,"spotify:track:0e8nrvls4Qqv5Rfa2UhqmO","Lil Nas X","THATS WHAT I WANT","Columbia",14,15,137,"207974"
15,"spotify:track:18asYwWugKjjsihZ0YvRxO","Tiësto, Ava Max","The Motto","Atlantic Records",10,14,88,"204629"
16,"spotify:track:2B4GHvToeLTOBB4QLzW3Ni","Farruko","Pepas","Sony Music Latin",2,16,173,"193530"
17,"spotify:track:5PjdY0CKGZdEuoNab3yDmX","The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)","Columbia",1,18,208,"191450"
18,"spotify:track:3N0KdzIP3kDCm4SPSIl7CT","Kool Savas, Alies","King","Sony Music/Essah Media GmbH",17,21,46,"181851"
19,"spotify:track:4n4iqZr6YRJJGykyBzTk66","ART","Nebel","23HOURS",9,17,5,"180840"
20,"spotify:track:0RSZ8EmUPEN3ySfCgytPke","Montez","Auf & Ab","Vertigo Berlin",1,20,187,"179589"
21,"spotify:track:2FQRZLR31e3423Nmrgv0Pv","KUMMER, Fred Rabe","DER LETZTE SONG (ALLES WIRD GUT) (feat. Fred Rabe)","Eklat Tonträger",1,22,82,"174961"
22,"spotify:track:3XOalgusokruzA5ZBA2Qcb","Gunna, Future, Young Thug","pushin P (feat. Young Thug)","300 Entertainment",21,23,25,"171562"
23,"spotify:track:5SZFEal5SHqWk6KHDA1dyX","MERO","3AM","Pentagon Records Plus",5,19,5,"170594"
24,"spotify:track:5Z9KJZvQzH6PFmb8SNkxuk","Lil Nas X, Jack Harlow","INDUSTRY BABY (feat. Jack Harlow)","Columbia",7,24,194,"170285"
25,"spotify:track:6fuO9uk9wbjCHvQJqk2Qpx","Pashanim, skrilla","paris freestyle - skrilla remix","Urban",1,26,99,"167920"
26,"spotify:track:0TBylB8tjwqp4YHSrwRJQQ","Gzuz","Späti","187 Strassenbande",2,27,110,"167603"
27,"spotify:track:2K7xn816oNHJZ0aVqdQsha","The Neighbourhood","Softcore","Columbia",26,31,31,"166960"
28,"spotify:track:5aoj3AXkJ7K2h5r8mmD6FS","Pajel, Luciano, Headie One","10von10 - Remix","Epic/DOPE",1,25,33,"166809"
29,"spotify:track:123R3phQiND3XIiyuhPSLt","CIVO","Weg von mir","Good Kid Records & VENTURA Records",28,28,5,"164145"
30,"spotify:track:1h3d2lvISrSIV6fS89U51S","ART","Belgisches Viertel","23HOURS",7,46,158,"159681"
31,"spotify:track:6VcBDMF2ykm5HDcJMVLRZW","Glockenbach, ClockClock","Brooklyn","WEFOR",27,29,44,"158715"
32,"spotify:track:79nEEoEPY2w8EXj9hjn5oc","Yung Lean","Ginseng Strip 2002","YEAR0001",30,30,9,"158398"
33,"spotify:track:46IZ0fSY2mpAiktS3KOqds","Adele","Easy On Me","Columbia",1,33,110,"141643"
34,"spotify:track:3eJH2nAjvNXdmPfBkALiPZ","Jason Derulo","Acapulco","Atlantic Records",23,36,151,"139733"
35,"spotify:track:3rmo8F54jFF8OgYsqTxm5d","Ed Sheeran","Bad Habits","Atlantic Records UK",3,38,221,"137107"
36,"spotify:track:40Y6lHWmWBlTAmxdKrEpQF","KC Rebell","Mogli","Rebell Army",3,34,19,"135105"
37,"spotify:track:47gUqrCtxnDoelDa2rkwEj","Gzuz, RAF Camora, Luciano","Alles Black","187 Strassenbande",1,35,19,"134991"
38,"spotify:track:2gQPv5jvVPqU2a9HhMNO1v","BoyWithUke","Toxic","Republic Records",16,37,112,"132629"
39,"spotify:track:1sa59Q9urE82MD3ELi44HN","Pajel","10von10","Epic/DOPE",1,39,172,"131134"
40,"spotify:track:3jKji1xEdwXgXcTrKJYbcR","PA Sports","Verlasse dich","Life Is Pain",11,32,5,"129076"
41,"spotify:track:2Oi1IJ6JEUX1aya9VUAA1Z","RAF Camora, Bonez MC","Blaues Licht","Indipendenza",1,41,193,"128436"
42,"spotify:track:0JpEMzTHbt2zBIXrntrXzG","Robin Schulz, Dennis Lloyd","Young Right Now","WM Germany",37,44,75,"128188"
43,"spotify:track:0BtIXZTbb0cczvMEvZILDJ","Selmon, Bausa","Molly (feat. Bausa)","diggiduwaist",5,42,26,"127592"
44,"spotify:track:2H7jZg2HliuQhZjfBblLrZ","Pashanim","Sommergewitter","Urban",1,40,222,"127119"
45,"spotify:track:0pA0BVXTONNqSldC9FdiaU","Ufo361, Pashanim","allein allein","ADS THC",1,45,40,"126837"
46,"spotify:track:0HK6kN5EjmHFxMdikQWi2b","Montez","Geisterstadt","Vertigo Berlin",38,43,12,"125191"
47,"spotify:track:58HvfVOeJY7lUuCqF0m3ly","Elley Duhé","MIDDLE OF THE NIGHT","Not Fit For Society/RCA Records",42,48,71,"120214"
48,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",45,49,332,"119851"
49,"spotify:track:4zj6uiKQ4oZh5Cgww2wEtx","Gzuz, Bonez MC","Wenn ich will","187 Strassenbande",1,47,26,"118772"
50,"spotify:track:46HNZY1i7O6jwTA7Slo2PI","Coldplay, BTS","My Universe","Parlophone UK",35,51,130,"111221"
51,"spotify:track:5WOnsi0Bug74LmhxcPfKvR","Topic, Robin Schulz, Nico Santos, Paul van Dyk","In Your Arms (For An Angel)","Virgin",42,53,5,"111204"
52,"spotify:track:3fQURzoTMXzQlHy2Wsi9mB","Noizy, Dardan, Jugglerz","Alles Gut","VENTURA Records",2,50,12,"104568"
53,"spotify:track:5aYQ6eeE2qIDI4Nkp3P4DP","ART","Rubinroter Wein","23HOURS",10,55,47,"102721"
54,"spotify:track:4imwzIKE4hypf2Xq2T0slV","Anonym, Eddin","Engel ohne Flügel","Cataleya Edition",26,54,5,"102291"
55,"spotify:track:4ZtFanR9U6ndgddUvNcjcG","Olivia Rodrigo","good 4 u","Olivia Rodrigo PS",1,58,263,"101355"
56,"spotify:track:2KnLkZ3z7PO3kgVGHGqDpD","Shawn Mendes","It'll Be Okay","Shawn Mendes LP4-5 PS/ Island",30,59,61,"98328"
57,"spotify:track:4LAI8j0ZszO14oMQwRKflU","Jamule","Blauer Himmel","Life Is Pain",4,57,19,"98293"
58,"spotify:track:2QjOHCTQ1Jl3zawyYOpxh6","The Neighbourhood","Sweater Weather","Columbia",54,64,385,"96804"
59,"spotify:track:2gpWyfu7eZ01zzncHpxOtA","Swedish House Mafia, The Weeknd","Moth To A Flame (with The Weeknd)","Republic Records",15,67,101,"96798"
60,"spotify:track:6I36pBjiMiLQLF4cRMdtZ0","Samra, Lune","Pourquoi","Cataleya Edition",6,63,33,"96724"
61,"spotify:track:6Uj1ctrBOjOas8xZXGqKk4","Doja Cat","Woman","Kemosabe Records/RCA Records",13,66,183,"96411"
62,"spotify:track:6y1EAdA0zOGOVYEZnhkpaa","Monet192","Kippe im Wind","WM Germany",19,52,5,"96003"
63,"spotify:track:3ki3YXx0OtIjOZ0Plcj6KW","badchieff, Edo Saiya, CRO, MAJAN","Ich liebe.... (feat. MAJAN)","Four Music/Schere Stein Papier",7,60,19,"95521"
64,"spotify:track:2USlegnFJLrVLpoVfPimKB","Gabry Ponte, LUM!X, Prezioso","Thunder","Spinnin' Records",39,65,241,"95337"
65,"spotify:track:0lQ2obtzmAsJu9xk3D6FqH","Pascal Letoublon, Leony","Friendships (Lost My Love)","Virgin",28,71,153,"94506"
66,"spotify:track:3f6lK3xZlgTKAxDVHHnufk","Beyazz","Letztes Mal","Kara Clique",37,61,5,"94284"
67,"spotify:track:5ewhpp17f3pUSx9xCwC6b1","Apache 207","Sport","Four Music/Two Sides",1,70,67,"93416"
68,"spotify:track:5joadQZj2gsjiazjynPY2X","Kolja Goldstein","Alexander III.","Kolja Goldstein",48,56,5,"93248"
69,"spotify:track:1nH2PkJL1XoUq8oE6tBZoU","The Weeknd","Sacrifice","XO / Republic Records",28,73,26,"91340"
70,"spotify:track:0FKw2vfEDxDuRisr4kU8Ok","RAF Camora, Luciano","2CB","Indipendenza",1,74,144,"91267"
71,"spotify:track:1BSMpVGWs3v5BZKnAQziAc","Charlie Puth","Light Switch","Atlantic Records",59,68,12,"90533"
72,"spotify:track:1vUOJpWc091SBYULNvz9mp","Alle Farben, KIDDO","Alright (feat. KIDDO)","WM Germany",72,97,53,"89907"
73,"spotify:track:52xJxFP6TqMuO4Yt0eOkMz","Carolina Gaitán - La Gaita, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz, Encanto - Cast","We Don't Talk About Bruno","Walt Disney Records",70,77,31,"87877"
74,"spotify:track:5JBtWpLoGO62gb5vax505b","Purple Disco Machine, Eyelar","Dopamine","Sweat It Out",48,78,103,"87289"
75,"spotify:track:5Gf6qU9Ett00mOaQuXm9eM","Milano","Unter die Haut","DEUX FRÈRES MUSIC",32,62,5,"86131"
76,"spotify:track:5bW7UeAOkE0wAeA6SOQWQc","LUIS, t-low","1.000 EMOTIONEN","LUIS",30,72,12,"85411"
77,"spotify:track:4t3TPJTZr9AMEvjPgyZVsW","FiNCH, Paul Elstak","Gabber Girl","Walk This Way Records",33,69,5,"85138"
78,"spotify:track:5F3sqL2deoeV2kr8Vn9H4V","Dardan, Nimo","B.I.B.O.","Hypnotize Entertainment",2,76,144,"84882"
79,"spotify:track:0VjIjW4GlUZAMYd2vXMi3b","The Weeknd","Blinding Lights","Republic Records",1,86,794,"84854"
80,"spotify:track:7lQ8MOhq6IN2w8EYcFNSUk","Eminem","Without Me","Aftermath",78,83,250,"84700"
81,"spotify:track:6Dy1jexKYriXAVG6evyUTJ","Joel Corry, Jax Jones, Charli XCX, Saweetie","OUT OUT (feat. Charli XCX & Saweetie)","Atlantic Records UK",13,81,171,"84347"
82,"spotify:track:3Wrjm47oTz2sjIgck11l5e","Måneskin","Beggin'","RCA Records Label",1,82,247,"84218"
83,"spotify:track:4cG7HUWYHBV6R6tHn1gxrl","Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine","Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit","Ministry of Sound Recordings",3,85,354,"83728"
84,"spotify:track:3ZDXLSUZpKx8pspNBOdVr5","RAF Camora, Ahmad Amin","Vergesse nie die Street","Indipendenza",19,79,148,"82887"
85,"spotify:track:5C04wdpfKcxwBVjAPYAayY","zyon","Sober (Slowed)","2758025 Records DK",75,75,6,"82758"
86,"spotify:track:01I8aPBUJIMzCtHsCVvmq5","Luciano","SUVs","URBAN",1,84,60,"81967"
87,"spotify:track:6OufwUcCqo81guU2jAlDVP","Shouse","Love Tonight - Edit","Hell Beach",7,89,232,"81611"
88,"spotify:track:1F80MEkZA9yTlpMQp9dhht","Tinlicker, Helsloot","Because You Move Me","B1 Recordings",11,94,229,"80367"
89,"spotify:track:2PDM9Byxz5crB2IXuh2Oal","Hava, Dardan","HIGH","RCA/Imperium Music",1,93,81,"80218"
90,"spotify:track:6jRkUyD99GMJ4KUjo5PCip","Wincent Weiss","Morgen","Vertigo Berlin",47,87,12,"79101"
91,"spotify:track:7fusuAmE8bSTQIppkWpzMa","DJ JEEZY, badmómzjay, Bausa, KALIM","Andale (feat. badmómzjay, Bausa & KALIM)","Epic Local",6,88,19,"78585"
