rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
1,"spotify:track:3ujiq7yK4Uan5z4876fHLK","DJ Robin, Schürze","Layla","Polydor x Island Records & Kontor New Media & Summerfield Records",1,1,57,"814396"
2,"spotify:track:2XRn6Qu0Wd1KvOND8JbaTx","Luciano","Beautiful Girl","URBAN",1,2,64,"601980"
3,"spotify:track:1fa4cA1z1a8Rksf8R6S1sl","Liaze","PARADISE (MIT DIR)","VENTURA Records",3,3,36,"556542"
4,"spotify:track:35DkXhxqTMiQB582tfjowU","Ion Miles, SiraOne, BHZ","Powerade","Sony Music/BHZ",2,4,71,"426275"
5,"spotify:track:1W1N3usYjgI3XGQA0iX9Vq","Miksu / Macloud, t-low","Sehnsucht","FUTURA",1,6,120,"379857"
6,"spotify:track:75FEaRjZTKLhTrFGsfMUXR","Kate Bush","Running Up That Hill (A Deal With God)","Parlophone UK",2,5,35,"378014"
7,"spotify:track:3a0F2N6rXJSibQTp77xH4f","Domiziana","Ohne Benzin","Four Music Local",3,8,45,"375534"
8,"spotify:track:3JXdzlvJJrKlmfBfoCLsOo","t-low, Miksu / Macloud","We Made It","Spinnup",1,7,72,"371082"
9,"spotify:track:6sS77FZh2eJfYBsFUW6hjI","Julian Sommer","Dicht im Flieger","Electrola",4,11,96,"331815"
10,"spotify:track:4zN21mbAuaD0WqtmaTZZeP","James Hype, Miggy Dela Rosa","Ferrari","Universal-Island Records Ltd.",10,10,43,"323383"
11,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",1,9,92,"316623"
12,"spotify:track:6sDfeHgrQvvBFdg88Qq8TM","Emilio","AUSMACHT","Jive",2,12,29,"280809"
13,"spotify:track:63oIpOHmjQ41v3bCJ8Ewl2","Dardan, Ricky Rich","ON FIRE (feat. Ricky Rich)","Hypnotize Entertainment",13,-1,1,"265454"
14,"spotify:track:7fZBQnc0zXwVybgCIrQQil","Imanbek, BYOR","Belly Dancer","Musical Freedom",10,13,95,"261254"
15,"spotify:track:7768gbTYBI5moR2Okfks1o","Summer Cem, Nimo, Dardan, KC Rebell, reezy","RATCHET RMX (feat. KC Rebell, reezy, Nimo & Dardan)","Banger Musik/WM Germany",15,-1,1,"239536"
16,"spotify:track:6GomT970rCOkKAyyrwJeZi","Öwnboss, Sevek","Move Your Body","Musical Freedom",9,14,138,"238422"
17,"spotify:track:4FXX4P3dxc1JMBx5wVRJ5N","Tream, treamiboii, HBz","LEBENSLANG - HBz Remix","HBzMusic",15,17,134,"231698"
18,"spotify:track:2jHTWGWP195AQjmcKfrXZC","Capo, Farid Bang, Capital Bra, Haftbefehl","NACHTSCHICHT (feat. Farid Bang, Capital Bra & Haftbefehl)","Capo Distributed/WM Germany",18,-1,1,"215860"
19,"spotify:track:3gyRaifTaAoQrwtYiQu9ur","The Ironix, Nullzweizwei","COACHELLA","Between Worlds x VENTURA Records",9,16,36,"213489"
20,"spotify:track:0X2Loosj0gjkusQEcJNBwR","1019, Lucio101, Nizi19, Omar101, Karamel19","Million (feat. Lucio101, Nizi19, Omar101 & Karamel19)","Columbia/1019 Records",20,-1,1,"212836"
21,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",1,15,549,"212108"
22,"spotify:track:2H6GuTiQlvO9pjvzDUUWKb","Monet192, badchieff","Lauf über Wasser (feat. badchieff)","WM Germany",22,-1,1,"203675"
23,"spotify:track:6A3SB2C4U6JtCavQOXLYNN","Benzz","Je M'appelle","Universal-Island Records Ltd.",9,19,59,"201474"
24,"spotify:track:3F5CgOj3wFlRv51JsHbxhe","Drake, 21 Savage","Jimmy Cooks (feat. 21 Savage)","OVO",11,22,15,"189051"
25,"spotify:track:4xBLgpxzMtaZxAE3fdycGN","Azet, Zuna","KMN","KMN Gang",3,18,8,"188698"
26,"spotify:track:2B4GHvToeLTOBB4QLzW3Ni","Farruko","Pepas","Sony Music Latin",2,24,323,"186738"
27,"spotify:track:30RZmaMqWS7Ixkf8h83mtW","HoodBlaq","Barrio","Columbia/BE.ELA.QU GmbH",17,23,8,"183315"
28,"spotify:track:6xGruZOHLs39ZbVccQTuPZ","Joji","Glimpse of Us","88rising Music/Warner Records",10,21,20,"180273"
29,"spotify:track:2DgdHcjWmO3qd50RzuBLgZ","Panic! At The Disco","House of Memories","Decaydance/Fueled By Ramen",7,27,78,"178843"
30,"spotify:track:2ERn9fVsix3AyuVv7UN6RC","SDP, Clueso","Die schönsten Tage","Nur Musik Ist Schöner",13,30,64,"175858"
