rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
1,"spotify:track:2XRn6Qu0Wd1KvOND8JbaTx","Luciano","Beautiful Girl","URBAN",1,1,34,"673846"
2,"spotify:track:6icjOrzM57QrCAtBeWB5WF","Ion Miles, SiraOne, BHZ","Powerade","Sony Music/BHZ",2,2,41,"444450"
3,"spotify:track:75FEaRjZTKLhTrFGsfMUXR","Kate Bush","Running Up That Hill (A Deal With God)","Parlophone UK",3,5,5,"423003"
4,"spotify:track:3a0F2N6rXJSibQTp77xH4f","Domiziana","Ohne Benzin","Four Music Local",3,3,15,"406177"
5,"spotify:track:3QY5JrK6MU3ebwlvQ0iniO","DJ Robin, Schürze","Layla","Polydor x Island Records & Kontor New Media & Summerfield Records",5,8,27,"365054"
6,"spotify:track:1W1N3usYjgI3XGQA0iX9Vq","Miksu / Macloud, t-low","Sehnsucht","FUTURA",1,4,90,"358653"
7,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",1,6,62,"331561"
8,"spotify:track:3JXdzlvJJrKlmfBfoCLsOo","t-low, Miksu / Macloud","We Made It","Spinnup",1,7,42,"327919"
9,"spotify:track:3gyRaifTaAoQrwtYiQu9ur","The Ironix, Nullzweizwei","COACHELLA","Between Worlds x VENTURA Records",9,12,6,"250367"
10,"spotify:track:0wHFktze2PHC5jDt3B17DC","Jack Harlow","First Class","Generation Now/Atlantic",1,9,55,"248644"
11,"spotify:track:2DgdHcjWmO3qd50RzuBLgZ","Panic! At The Disco","House of Memories","Decaydance/Fueled By Ramen",7,10,48,"230827"
12,"spotify:track:6A3SB2C4U6JtCavQOXLYNN","Benzz","Je M'appelle","Universal-Island Records Ltd.",9,11,29,"225383"
13,"spotify:track:6GomT970rCOkKAyyrwJeZi","Öwnboss, Sevek","Move Your Body","Musical Freedom",9,13,108,"217759"
14,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",1,14,519,"200162"
15,"spotify:track:5h6yetX656MwIB1jAuAEjI","SDP, Clueso","Die schönsten Tage","Nur Musik Ist Schöner",13,16,34,"194782"
