rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
1,"spotify:track:0h14I7cPYi1RZG6GmVpMso","CIVO","Weg von mir","Good Kid Records & VENTURA Records",1,1,33,"374933"
2,"spotify:track:7jQcjzl8yPQsmxpO5orx4Y","Sa4, 187 Strassenbande","187 Allstars ‘22","187 Strassenbande",1,2,5,"317778"
3,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",1,3,427,"297886"
4,"spotify:track:5Th2Rs48Gz3iqfcGMXG5PC","1986zig","Kopf aus","Good Kid Records & Polydor x Island Records",1,4,33,"290082"
5,"spotify:track:7EtfwHVS8FcciOBU1VnT8G","FOURTY, Mathea","WENN DU MICH VERMISST","Life Is Pain",5,8,19,"247629"
6,"spotify:track:3CQhud304mI5VmW6EjoTDg","SDP, Montez","Wie viele Lieder muss ich noch schreiben?","Nur Musik Ist Schöner",4,6,5,"246176"
7,"spotify:track:4fouWK6XVHhzl78KzQ1UjL","GAYLE","abcdefu","Atlantic/Arthouse Records",1,5,110,"244617"
8,"spotify:track:3Oww84xrmgjyr5J1ilOmAf","Luude, Colin Hay","Down Under (feat. Colin Hay)","Sweat It Out",1,7,57,"244510"
9,"spotify:track:1HhNoOuqm1a5MXYEgAFl8o","Imagine Dragons, JID, Arcane, League of Legends","Enemy (with JID) - from the series Arcane League of Legends","Kid Ina Korner / Interscope",3,9,124,"233270"
10,"spotify:track:3uUuGVFu1V7jTQL60S1r8z","Lost Frequencies, Calum Scott","Where Are You Now","Epic Amsterdam",3,10,215,"209610"
11,"spotify:track:20on25jryn53hWghthWWW3","ACRAZE, Cherish","Do It To It","Thrive Music, LLC",1,11,137,"196627"
12,"spotify:track:18asYwWugKjjsihZ0YvRxO","Tiësto, Ava Max","The Motto","Atlantic Records",10,12,116,"194204"
13,"spotify:track:1SOClUWhOi8vHZYMz3GluK","Jaymes Young","Infinity","Atlantic Records",9,14,151,"193058"
14,"spotify:track:0e8nrvls4Qqv5Rfa2UhqmO","Lil Nas X","THATS WHAT I WANT","Columbia",7,13,165,"191040"
15,"spotify:track:2xFMvrqk99biaLQavjufta","Sido","Mit Dir","Urban",1,16,103,"185749"
16,"spotify:track:50nfwKoDiSYg8zOCREWAm5","Ed Sheeran","Shivers","Atlantic Records UK",1,17,173,"179283"
17,"spotify:track:7rglLriMNBPAyuJOMGwi39","Elton John, Dua Lipa, PNAU","Cold Heart - PNAU Remix","EMI",5,18,194,"177091"
18,"spotify:track:59CfNbkERJ3NoTXDvoURjj","Dove Cameron","Boyfriend","Disruptor Records/Columbia",17,19,19,"174827"
19,"spotify:track:2B4GHvToeLTOBB4QLzW3Ni","Farruko","Pepas","Sony Music Latin",2,20,201,"170446"
20,"spotify:track:4Ir5arQOnMzt0wSB2lq6U3","Capital Bra, RAF Camora","Auf die Feinde (feat. RAF Camora)","URBAN",2,15,5,"167247"
21,"spotify:track:5PjdY0CKGZdEuoNab3yDmX","The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)","Columbia",1,22,236,"166812"
22,"spotify:track:0BbYTaDH81up32xTKIGjbS","Katja Krasavice","Onlyfans","Katja Krasavice/WM Germany",3,21,19,"163012"
23,"spotify:track:0RSZ8EmUPEN3ySfCgytPke","Montez","Auf & Ab","Vertigo Berlin",1,24,215,"160767"
24,"spotify:track:5vUnjhBzRJJIAOJPde6zDx","Jnr Choi, Sam Tompkins","TO THE MOON","Jnr Choi/Epic",10,25,65,"157176"
25,"spotify:track:6R4rMppvG1kkbz3thlXUXC","Lune","du wirst es nie verstehen.","Lune/WM Germany",11,23,5,"153853"
26,"spotify:track:6fuO9uk9wbjCHvQJqk2Qpx","Pashanim, skrilla","paris freestyle - skrilla remix","Urban",1,28,127,"152950"
27,"spotify:track:1h3d2lvISrSIV6fS89U51S","ART","Belgisches Viertel","23HOURS",7,26,186,"152183"
28,"spotify:track:6VcBDMF2ykm5HDcJMVLRZW","Glockenbach, ClockClock","Brooklyn","WEFOR",26,30,72,"150293"
29,"spotify:track:5Z9KJZvQzH6PFmb8SNkxuk","Lil Nas X, Jack Harlow","INDUSTRY BABY (feat. Jack Harlow)","Columbia",7,29,222,"146786"
30,"spotify:track:2xSIcmvFQHs2CeS34Mgp62","Leony","Remedy","Kontor Records",30,35,23,"146581"
31,"spotify:track:58HvfVOeJY7lUuCqF0m3ly","Elley Duhé","MIDDLE OF THE NIGHT","Not Fit For Society/RCA Records",31,32,99,"143949"
32,"spotify:track:2FQRZLR31e3423Nmrgv0Pv","KUMMER, Fred Rabe","DER LETZTE SONG (ALLES WIRD GUT) (feat. Fred Rabe)","Eklat Tonträger",1,36,110,"143028"
33,"spotify:track:0dtmf5crBXbjBtveo8ggJA","Nimo","DOWN","MOONBOYS ENT.",7,27,5,"142335"
34,"spotify:track:3eJH2nAjvNXdmPfBkALiPZ","Jason Derulo","Acapulco","Atlantic Records",23,33,179,"141584"
35,"spotify:track:32JtIdyR3ZcYN2lfYNfapv","Dante YN","und ich rauch","Epic Local",18,31,5,"137899"
36,"spotify:track:2K7xn816oNHJZ0aVqdQsha","The Neighbourhood","Softcore","Columbia",23,38,59,"135794"
37,"spotify:track:2hBkoDhuGk2AtSCprEFDFP","Ray Dalton, Alvaro Soler","Manila","Epic Local",33,39,35,"135682"
38,"spotify:track:2Oi1IJ6JEUX1aya9VUAA1Z","RAF Camora, Bonez MC","Blaues Licht","Indipendenza",1,42,221,"133176"
39,"spotify:track:4ZJQl6tmrVbtvhh7qav7Aa","Bozza, Sido, GINI","Allein (feat. Sido & GINI)","Def Jam Germany",12,34,5,"131485"
40,"spotify:track:0TBylB8tjwqp4YHSrwRJQQ","Gzuz","Späti","187 Strassenbande",2,43,138,"128011"
41,"spotify:track:2c5CLmXwJ4V0IIqJ6B68gq","RAF Camora, Ufo361, The Cratez","Tageslicht","GOLD LEAGUE/RBK",1,41,12,"125275"
42,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",40,49,360,"125116"
43,"spotify:track:4VINQO7QzZt4F45RWfz6aK","Pajel, Luciano, Headie One","10von10 - Remix","Epic/DOPE",1,45,61,"125097"
44,"spotify:track:3rmo8F54jFF8OgYsqTxm5d","Ed Sheeran","Bad Habits","Atlantic Records UK",3,44,249,"124687"
45,"spotify:track:3z1wcTPPAKnuhKXHoFMXSb","Jamule","Offday","Life Is Pain",14,37,5,"124409"
46,"spotify:track:2H7jZg2HliuQhZjfBblLrZ","Pashanim","Sommergewitter","Urban",1,46,250,"122799"
47,"spotify:track:7lQ8MOhq6IN2w8EYcFNSUk","Eminem","Without Me","Aftermath",28,48,278,"120433"
48,"spotify:track:61iL9OUfIipm3Udr0Zs1oe","Samra, Anonym, BOJAN","WHEN I DIE","Cataleya Edition",13,40,8,"119549"
49,"spotify:track:480dxcx2AKaFrtwTg0fHXK","Vanessa Mai, ART","Melatonin","Ariola Local",13,47,12,"117647"
50,"spotify:track:1bjhYUwKUHEg5fHknxFObO","Frank Ocean","Lost","Red Zone Entertainment / IDJ",50,52,45,"117500"
51,"spotify:track:5oOOF7tC6HUaiXhAlCONTd","Pajel, O.G.","Nie Verstehen (feat. O.G.)","Epic/DOPE",8,50,12,"113669"
