rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
1,"spotify:track:2XRn6Qu0Wd1KvOND8JbaTx","Luciano","Beautiful Girl","URBAN",1,1,3,"888143"
2,"spotify:track:5IQvs70wHdurk63TnCV6ZP","t-low, Miksu / Macloud","We Made It","Spinnup",1,2,11,"535090"
3,"spotify:track:1W1N3usYjgI3XGQA0iX9Vq","Miksu / Macloud, t-low","Sehnsucht","FUTURA",1,3,59,"390964"
4,"spotify:track:1rDQ4oMwGJI7B4tovsBOxc","Jack Harlow","First Class","Generation Now/Atlantic",1,4,24,"365731"
5,"spotify:track:6icjOrzM57QrCAtBeWB5WF","Ion Miles, SiraOne, BHZ","Powerade","Sony Music/BHZ",3,5,10,"352312"
6,"spotify:track:4LRPiXqCikLlN15c3yImP7","Harry Styles","As It Was","Columbia",1,6,31,"347287"
7,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",1,8,488,"228331"
8,"spotify:track:5CJqhXiUiK2rVowtbeLjyd","Bonez MC, LX, The Cratez","Bob Marley","GOLD LEAGUE/RBK",6,7,3,"225262"
9,"spotify:track:0h14I7cPYi1RZG6GmVpMso","CIVO","Weg von mir","Good Kid Records & VENTURA Records",1,15,94,"182439"
10,"spotify:track:2DgdHcjWmO3qd50RzuBLgZ","Panic! At The Disco","House of Memories","Decaydance/Fueled By Ramen",10,26,17,"175757"
11,"spotify:track:2xSIcmvFQHs2CeS34Mgp62","Leony","Remedy","Kontor Records",4,16,84,"175109"
12,"spotify:track:4BZuKo2NlQxjWkQlpQf3E2","Samra","LV","Cataleya Edition",8,11,3,"175076"
13,"spotify:track:0UuNO0yYvsMPlyLF7RfQlg","Rammstein","Angst","Rammstein",9,9,3,"173127"
14,"spotify:track:3uUuGVFu1V7jTQL60S1r8z","Lost Frequencies, Calum Scott","Where Are You Now","Epic Amsterdam",3,17,276,"167652"
15,"spotify:track:6sS77FZh2eJfYBsFUW6hjI","Julian Sommer","Dicht im Flieger","Electrola",15,19,35,"166488"
16,"spotify:track:2KsHzM4L7ThhNJB6MHXkPx","Rammstein","Zeit","Rammstein",4,10,42,"164157"
17,"spotify:track:58HvfVOeJY7lUuCqF0m3ly","Elley Duhé","MIDDLE OF THE NIGHT","Not Fit For Society/RCA Records",11,32,160,"157163"
18,"spotify:track:514GW1c9Jn21KgZmO6mZIE","Rammstein","Armee der Tristen","Rammstein",9,13,3,"155977"
19,"spotify:track:2w7Ca8DNYXBCgA6Bht7o0N","Rammstein","Zick Zack","Rammstein",8,12,24,"155639"
20,"spotify:track:5KTBaWu8IOczQ0sPWzZ7MY","Rammstein","Dicke Titten","Rammstein",12,14,3,"154610"
21,"spotify:track:2DB4DdfCFMw1iaR6JaR03a","Camila Cabello, Ed Sheeran","Bam Bam (feat. Ed Sheeran)","Epic",11,23,59,"153813"
22,"spotify:track:18asYwWugKjjsihZ0YvRxO","Tiësto, Ava Max","The Motto","Atlantic Records",8,22,177,"150626"
23,"spotify:track:2B4GHvToeLTOBB4QLzW3Ni","Farruko","Pepas","Sony Music Latin",2,20,262,"150085"
24,"spotify:track:4FXX4P3dxc1JMBx5wVRJ5N","Tream, treamiboii, HBz","LEBENSLANG - HBz Remix","HBzMusic",16,27,73,"146485"
25,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",9,50,421,"144879"
26,"spotify:track:6JIC3hbC28JZKZ8AlAqX8h","Elton John, Dua Lipa, PNAU","Cold Heart - PNAU Remix","EMI",5,24,255,"144686"
27,"spotify:track:3Ye7vnZdrO2Gq5IyyH3cOp","Rammstein","Giftig","Rammstein",13,18,3,"142989"
28,"spotify:track:1HhNoOuqm1a5MXYEgAFl8o","Imagine Dragons, JID, Arcane, League of Legends","Enemy (with JID) - from the series Arcane League of Legends","Kid Ina Korner / Interscope",3,41,185,"140636"
29,"spotify:track:2UK4qw712yzFh8vYYJGv2B","Rammstein","Schwarz","Rammstein",14,21,3,"137285"
30,"spotify:track:6GomT970rCOkKAyyrwJeZi","Öwnboss, Sevek","Move Your Body","Musical Freedom",18,25,77,"136925"
31,"spotify:track:2MLIRLTx41VStC8Z5NJEG6","ClockClock","Sorry","WEFOR",15,37,43,"136830"
32,"spotify:track:3Oww84xrmgjyr5J1ilOmAf","Luude, Colin Hay","Down Under (feat. Colin Hay)","Sweat It Out",1,28,118,"136577"
33,"spotify:track:4fouWK6XVHhzl78KzQ1UjL","GAYLE","abcdefu","Atlantic/Arthouse Records",1,40,171,"136576"
34,"spotify:track:3EngNejou3x0co3Ed68X7U","Romero","Sie Liebt Techno","Epic Local",12,29,16,"136346"
35,"spotify:track:5a4BwnoE6D5bRmhMvITk0u","reezy","DILEMMA","Four Music/Two Sides",17,35,3,"135302"
36,"spotify:track:5STeQZH1Ahz3h0X9Njaij7","t-low","Crashen","Spinnup",15,44,293,"133934"
37,"spotify:track:50nfwKoDiSYg8zOCREWAm5","Ed Sheeran","Shivers","Atlantic Records UK",1,39,234,"133616"
38,"spotify:track:5PjdY0CKGZdEuoNab3yDmX","The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)","Columbia",1,42,297,"130132"
39,"spotify:track:3sa06xVNmLLYIxdNNmVQN8","Jax Jones, MNEK","Where Did You Go? (feat. MNEK)","Polydor Records",25,36,44,"125385"
40,"spotify:track:2hBkoDhuGk2AtSCprEFDFP","Ray Dalton, Alvaro Soler","Manila","Epic Local",23,48,96,"121951"
41,"spotify:track:0qGZkkxnyfGrUBLflKwBQG","Rammstein","Meine Tränen","Rammstein",20,30,3,"121951"
42,"spotify:track:56SLMIzWKrEOWIQ5LCzKXV","Rammstein","Adieu","Rammstein",24,33,3,"121144"
43,"spotify:track:2Oi1IJ6JEUX1aya9VUAA1Z","RAF Camora, Bonez MC","Blaues Licht","Indipendenza",1,47,282,"119987"
44,"spotify:track:20on25jryn53hWghthWWW3","ACRAZE, Cherish","Do It To It","Thrive Music, LLC",1,38,198,"119787"
45,"spotify:track:1SOClUWhOi8vHZYMz3GluK","Jaymes Young","Infinity","Atlantic Records",9,55,212,"117773"
46,"spotify:track:1LvyuaK3gMkd4MLxSEf9MO","Rammstein","Lügen","Rammstein",23,34,3,"117434"
47,"spotify:track:1l0arEkM2grgUYMim5SggS","Rammstein","OK","Rammstein",16,31,3,"116746"
48,"spotify:track:0h9o7htUBxQkrQFx6LXHcp","Monet192, Juh-Dee","Love","WM Germany",22,43,3,"114838"
49,"spotify:track:4DEH8oNdeXs4Lg72Lrkz87","RAF Camora","Mein Planet","Indipendenza",5,45,10,"112588"
50,"spotify:track:75UUG6x5zQe0gCVOiQpa6X","Purple Disco Machine, Sophie and the Giants","In the Dark","Sweat It Out",28,49,67,"112553"
51,"spotify:track:5Z9KJZvQzH6PFmb8SNkxuk","Lil Nas X, Jack Harlow","INDUSTRY BABY (feat. Jack Harlow)","Columbia",7,52,283,"112010"
52,"spotify:track:0PoorhuDSZ7hgvFT7C6fgf","01099, CRO","Glücklich","01099",3,57,38,"110371"
53,"spotify:track:2YDzzBkVJqV8tKS0G5PslR","Kontra K","Gib mir kein' Grund","Letzte Wölfe",21,46,3,"108364"
54,"spotify:track:1HvTxgCj0mTzQlEo0zLvFb","Lil Tjay","In My Head","Columbia",5,56,31,"108200"
55,"spotify:track:7z5G2LOdV8okZn4yWg3q5g","A1 x J1, Tion Wayne","Night Away (Dance) (feat. Tion Wayne)","EMI",23,53,57,"107789"
56,"spotify:track:1TM2i0pjWHpus4t3p6zs0V","Silva","Jumper","Urban",21,54,39,"107607"
57,"spotify:track:0K6QpySe2WtrAR2wXKheVh","Juju, Chapo102, Philipp Poisel","Erkläre mir die Liebe","JINX Music",7,51,10,"106687"
58,"spotify:track:54Colxayes3tPJKcYRoO29","ARY","Du Liebst Mich Auch","Good Kid Records & VENTURA Records",34,65,11,"102187"
59,"spotify:track:0e8nrvls4Qqv5Rfa2UhqmO","Lil Nas X","THATS WHAT I WANT","Columbia",7,59,226,"102148"
60,"spotify:track:3I10tZ5MgEMo4WryCNJkZQ","Shouse","Won't Forget You - Edit","Hell Beach",40,58,46,"100029"
61,"spotify:track:5r43qanLhUCdBj8HN3fa6B","OneRepublic","Sunshine","Mosley Music/Interscope Records",40,62,55,"98708"
62,"spotify:track:3rmo8F54jFF8OgYsqTxm5d","Ed Sheeran","Bad Habits","Atlantic Records UK",3,60,310,"96982"
63,"spotify:track:2H7jZg2HliuQhZjfBblLrZ","Pashanim","Sommergewitter","Urban",1,68,311,"94405"
64,"spotify:track:3eJH2nAjvNXdmPfBkALiPZ","Jason Derulo","Acapulco","Atlantic Records",23,61,240,"93874"
65,"spotify:track:59CfNbkERJ3NoTXDvoURjj","Dove Cameron","Boyfriend","Disruptor Records/Columbia",17,73,80,"92798"
66,"spotify:track:7EtfwHVS8FcciOBU1VnT8G","FOURTY, Mathea","WENN DU MICH VERMISST","Life Is Pain",4,66,80,"92174"
67,"spotify:track:2sFsvaMRe8PKo5AFdBE9qC","Montez","Auf & Ab","Vertigo Berlin",1,63,276,"91957"
68,"spotify:track:4RHDWNlp4yrk54rQATSiQK","Chapo102, 102 Boyz","MISSED CALLS","JINX Music",6,71,38,"91232"
69,"spotify:track:6VcBDMF2ykm5HDcJMVLRZW","Glockenbach, ClockClock","Brooklyn","WEFOR",26,69,133,"87940"
70,"spotify:track:2CewvqbfMOcnvYE3yayAJV","KAMRAD","I Believe","Epic Local",56,78,98,"86493"
71,"spotify:track:5Pp64isQvPVgptiOdS9Kcn","Luciano","Sweet Dreams","URBAN",4,82,55,"85545"
72,"spotify:track:1h3d2lvISrSIV6fS89U51S","ART","Belgisches Viertel","23HOURS",7,76,247,"85488"
73,"spotify:track:7fZBQnc0zXwVybgCIrQQil","Imanbek, BYOR","Belly Dancer","Musical Freedom",61,70,34,"84602"
74,"spotify:track:0TBylB8tjwqp4YHSrwRJQQ","Gzuz","Späti","187 Strassenbande",2,72,199,"84411"
75,"spotify:track:59nOXPmaKlBfGMDeOVGrIK","Future, Drake, Tems","WAIT FOR U (feat. Drake & Tems)","Epic/Freebandz",69,74,3,"84180"
76,"spotify:track:3AVXwaOGCEL8cmBecfcsFJ","Charlie Puth","Light Switch","Atlantic Records",53,79,101,"83418"
77,"spotify:track:1Y2zqkMEu3mJPBBMBdkIsD","Luciano","Majestic","URBAN",2,80,45,"82197"
78,"spotify:track:2QjOHCTQ1Jl3zawyYOpxh6","The Neighbourhood","Sweater Weather","Columbia",53,104,474,"81867"
79,"spotify:track:1r8ZCjfrQxoy2wVaBUbpwg","The Kid LAROI","Thousand Miles","Columbia",42,83,10,"81484"
80,"spotify:track:22skzmqfdWrjJylampe0kt","Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton","Can't Hold Us (feat. Ray Dalton)","Macklemore",20,77,571,"80738"
81,"spotify:track:4ZtFanR9U6ndgddUvNcjcG","Olivia Rodrigo","good 4 u","Olivia Rodrigo PS",1,85,352,"80704"
82,"spotify:track:2xFMvrqk99biaLQavjufta","Sido","Mit Dir","Urban",1,84,164,"80366"
83,"spotify:track:2K7xn816oNHJZ0aVqdQsha","The Neighbourhood","Softcore","Columbia",23,119,120,"79305"
84,"spotify:track:0LTn3UoaJkL42ltlGwWMxC","Malik Harris","Rockstars","Better Now Records",81,96,20,"78591"
85,"spotify:track:0Y7EjYQMoor1t8tgKqUaEC","Olexesh","Etwas werden","385ideal",37,64,3,"78400"
86,"spotify:track:6fuO9uk9wbjCHvQJqk2Qpx","Pashanim, skrilla","paris freestyle - skrilla remix","Urban",1,86,188,"78089"
87,"spotify:track:3CQhud304mI5VmW6EjoTDg","SDP, Montez","Wie viele Lieder muss ich noch schreiben?","Nur Musik Ist Schöner",4,93,66,"78050"
88,"spotify:track:1WCEAGGRD066z2Q89ObXTq","David Guetta, Becky Hill, Ella Henderson","Crazy What Love Can Do","Parlophone UK",45,75,24,"78036"
89,"spotify:track:6Uj1ctrBOjOas8xZXGqKk4","Doja Cat","Woman","Kemosabe Records/RCA Records",13,87,272,"77104"
90,"spotify:track:6ChnGkBwnq2HUJD24YhMhW","Cheriimoya, Sierra Kidd","Living Life, In The Night","Arista Records",77,116,57,"76918"
91,"spotify:track:7lQ8MOhq6IN2w8EYcFNSUk","Eminem","Without Me","Aftermath",28,88,339,"76479"
92,"spotify:track:3jy5dNLbaVAODjBuvnKxup","Kay One, Mike Singer","Du gehst nicht aus meinem Kopf","Embassy of Music",40,67,3,"76399"
93,"spotify:track:0oA9wBGDY4uyILLg4GymWP","AnnenMayKantereit, Giant Rooks","Tom's Diner","Vertigo Berlin",51,98,49,"75900"
94,"spotify:track:5Th2Rs48Gz3iqfcGMXG5PC","1986zig","Kopf aus","Good Kid Records & Polydor x Island Records",1,92,94,"75396"
95,"spotify:track:2pLeoBNJiGlbZkyf84z5hJ","01099, Gustav, Zachi, AVO","Durstlöscher","01099",12,107,340,"74486"
96,"spotify:track:5gRXyFtArVXYk8OOSWIXBO","Endzone, TM","61 Grad (Deep House RMX)","2Live Entertainment",87,130,58,"73514"
97,"spotify:track:0JpEMzTHbt2zBIXrntrXzG","Robin Schulz, Dennis Lloyd","Young Right Now","WM Germany",35,91,164,"73040"
98,"spotify:track:7EHEVPIFS6mOq4BOhlVL3i","CRO","letzter song","Urban",68,141,16,"72707"
99,"spotify:track:0IuVhCflrQPMGRrOyoY5RW","Tate McRae","she's all i wanna be","RCA Records Label",43,108,87,"72415"
100,"spotify:track:2FQRZLR31e3423Nmrgv0Pv","KUMMER, Fred Rabe","DER LETZTE SONG (ALLES WIRD GUT) (feat. Fred Rabe)","Eklat Tonträger",1,114,171,"71916"
101,"spotify:track:01I8aPBUJIMzCtHsCVvmq5","Luciano","SUVs","URBAN",1,102,149,"71779"
102,"spotify:track:2USlegnFJLrVLpoVfPimKB","Gabry Ponte, LUM!X, Prezioso","Thunder","Spinnin' Records",39,89,330,"71582"
103,"spotify:track:0VjIjW4GlUZAMYd2vXMi3b","The Weeknd","Blinding Lights","Republic Records",1,100,883,"71564"
104,"spotify:track:0FKw2vfEDxDuRisr4kU8Ok","RAF Camora, Luciano","2CB","Indipendenza",1,110,233,"70681"
105,"spotify:track:1DIXPcTDzTj8ZMHt3PDt8p","Coolio, L.V.","Gangsta's Paradise","Tommy Boy Music, LLC",75,99,404,"70600"
106,"spotify:track:3uwnnTQcHM1rDqSfA4gQNz","Demi Lovato","Cool for the Summer","Hollywood Records",17,120,44,"70423"
107,"spotify:track:6kwTAVrensYnx7JqejwgeG","Kraftklub","Ein Song reicht","Vertigo Berlin",6,106,31,"70365"
108,"spotify:track:5h6yetX656MwIB1jAuAEjI","SDP, Clueso","Die schönsten Tage","Nur Musik Ist Schöner",58,90,3,"70083"
109,"spotify:track:2KdKh9vHbKW0tZLqtpxxI0","Justin Bieber, Don Toliver","Honest (feat. Don Toliver)","Justin Bieber 2021 PS/ Def Jam",84,94,3,"70046"
110,"spotify:track:2UN0lp72LAusrXi8LLVomt","Ed Sheeran, Lil Baby","2step (feat. Lil Baby)","Atlantic Records UK",70,95,10,"69989"
111,"spotify:track:40mI1rlWiHarvMDtBvPnhW","t-low","Ordentlich","Spinnup",9,122,220,"69592"
112,"spotify:track:3ZDXLSUZpKx8pspNBOdVr5","RAF Camora, Ahmad Amin","Vergesse nie die Street","Indipendenza",19,103,237,"69111"
113,"spotify:track:5oH4DQAuu1J1800RzUsBWa","PSY, SUGA","That That (prod. & feat. SUGA of BTS)","P NATION",113,113,3,"69008"
114,"spotify:track:4cG7HUWYHBV6R6tHn1gxrl","Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine","Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit","Ministry of Sound Recordings",3,81,443,"67726"
115,"spotify:track:4VINQO7QzZt4F45RWfz6aK","Pajel, Luciano, Headie One","10von10 - Remix","Epic/DOPE",1,115,122,"66882"
116,"spotify:track:1ei3hzQmrgealgRKFxIcWn","Benson Boone","In The Stars","Warner Records",116,167,3,"66855"
117,"spotify:track:7s3VxmIizcDgDTRCA4kDzd","CRO","Traum","BMG Rights Management",92,123,119,"66277"
118,"spotify:track:0y60itmpH0aPKsFiGxmtnh","WILLOW","Wait a Minute!","Roc Nation W Smith P&D",96,134,28,"65960"
119,"spotify:track:6hw1Sy9wZ8UCxYGdpKrU6M","Apache 207","Roller","Four Music Local",1,97,980,"65777"
120,"spotify:track:6myefhZIHsPCDloC1iu8KS","Ikke Hüftgold","Ich schwanke noch","Summerfield Records",62,118,64,"65356"
121,"spotify:track:0i4H0LC4AkrHVsQCpv3dB8","makko","makkohatjedenliebaussersichselbst","makko305",85,182,8,"65268"
122,"spotify:track:7rhfRaybfxTAjuzih3xWpc","01099, Gustav","Frisch","01099",21,138,410,"65184"
123,"spotify:track:5oOOF7tC6HUaiXhAlCONTd","Pajel, O.G.","Nie Verstehen (feat. O.G.)","Epic/DOPE",8,129,73,"64621"
124,"spotify:track:1vUOJpWc091SBYULNvz9mp","Alle Farben, KIDDO","Alright (feat. KIDDO)","WM Germany",42,117,142,"64018"
125,"spotify:track:5TXDeTFVRVY7Cvt0Dw4vWW","XXXTENTACION","Revenge","Bad Vibes Forever / EMPIRE",78,177,61,"63941"
126,"spotify:track:7dDrR6vMK1JAwZZ5MIWgme","Dylan Conrique","Birthday Cake","KYN Entertainment",59,171,32,"63843"
127,"spotify:track:4fjIZ1SrvhJoO0TJKJLNGb","Clueso, ELIF","Mond","Epic Local",52,124,10,"63800"
128,"spotify:track:5UFbfXuj4TjirzmcvTFBBy","CRO","Bad Chick","BMG Rights Management",94,137,85,"63348"
129,"spotify:track:5u8Y0lAUlBLwuhpXSDUGf4","Felix Jaehn, The Stickmen Project, Calum Scott","Rain In Ibiza","Virgin",95,101,19,"63287"
130,"spotify:track:3RM5RpRDDdST1njqOMG141","Culcha Candela","Monsta","Sony Music/CULCHA SOUND",43,112,127,"63270"
131,"spotify:track:01kfSdF9zfcDLri5sSWEoL","Dxrk ダーク","RAVE","Dxrk",127,165,13,"63035"
132,"spotify:track:360Wr96ywrCQq4kTAJ8Pq6","Melanie Martinez","Pacify Her","Atlantic Records",132,193,9,"62919"
133,"spotify:track:46IZ0fSY2mpAiktS3KOqds","Adele","Easy On Me","Columbia",1,149,199,"62687"
134,"spotify:track:6Dy1jexKYriXAVG6evyUTJ","Joel Corry, Jax Jones, Charli XCX, Saweetie","OUT OUT (feat. Charli XCX & Saweetie)","Atlantic Records UK",13,105,260,"61797"
135,"spotify:track:05Mp2UJulSttxQ4E6hQPH3","Bonez MC, RAF Camora, Maxwell","Ohne mein Team","UME - Global Clearing House",8,121,1740,"61538"
136,"spotify:track:1MAqcAU0vwCpDosgRzoEHV","t-low","Geh Allein","Spinnup",99,172,106,"61029"
137,"spotify:track:29vkOKlY33ypMT2xQBxeCD","Monet192","Champions Club","WM Germany",9,127,24,"60420"
138,"spotify:track:6Jkm5kUldvIqxzI1Pa7nXH","Leah Kate","10 Things I Hate About You","Leah Kate, under exclusive license to 10K Projects / MDDN",102,170,8,"60289"
139,"spotify:track:46HNZY1i7O6jwTA7Slo2PI","Coldplay, BTS","My Universe","Parlophone UK",35,147,219,"60146"
140,"spotify:track:0U1W2LZVUX7qTm7dDpqxh6","Shawn Mendes","When You're Gone","Shawn Mendes LP4-5 PS/ Island",28,159,32,"60073"
141,"spotify:track:6I3mqTwhRpn34SLVafSH7G","Justin Bieber","Ghost","RBMG/Def Jam",60,150,197,"60060"
142,"spotify:track:6OufwUcCqo81guU2jAlDVP","Shouse","Love Tonight - Edit","Hell Beach",7,111,321,"59764"
143,"spotify:track:503OTo2dSqe7qk76rgsbep","Dr. Dre, Snoop Dogg","Still D.R.E.","Aftermath",22,128,96,"59684"
144,"spotify:track:6M8ys9IHYwxUeAhAcC6f7m","$OHO BANI, Longus Mongus","INZIDANCE","$OHO BANI",12,145,38,"59663"
145,"spotify:track:2L6hCTpUlR2p7Su3hiSB0s","CRO","Einmal um die Welt","BMG Rights Management",125,142,30,"59495"
146,"spotify:track:0HqZX76SFLDz2aW8aiqi7G","Imagine Dragons","Bones","KIDinaKORNER/Interscope Records",53,157,51,"59249"
147,"spotify:track:1v7L65Lzy0j0vdpRjJewt1","Eminem","Lose Yourself - From ""8 Mile"" Soundtrack","Aftermath",35,152,665,"59216"
148,"spotify:track:1F80MEkZA9yTlpMQp9dhht","Tinlicker, Helsloot","Because You Move Me","B1 Recordings",11,139,318,"58649"
149,"spotify:track:2gQPv5jvVPqU2a9HhMNO1v","BoyWithUke","Toxic","Republic Records",16,186,200,"58397"
150,"spotify:track:0EsbOkROZEauEJL3En3y25","Nizi19, Pashanim","2wasser2sprite (feat. Pashanim)","Columbia/1019 Records",63,125,3,"58320"
151,"spotify:track:4lv1AFnXqFJI5N2BMRoBtt","Babymoench","Allein","Epic Local",54,185,36,"58120"
152,"spotify:track:3yfqSUWxFvZELEM4PmlwIR","Eminem","The Real Slim Shady","Interscope",55,154,197,"57523"
153,"spotify:track:1J19WXuGyhgMz0rMDxE843","FOURTY","CASA","Life Is Pain",62,109,3,"57476"
154,"spotify:track:4xkOaSrkexMciUUogZKVTS","Eminem, Nate Dogg","'Till I Collapse","Aftermath",55,168,614,"57046"
155,"spotify:track:3GZD6HmiNUhxXYf8Gch723","Frank Ocean","Lost","Red Zone Entertainment / IDJ",45,160,106,"56880"
156,"spotify:track:0HA1tuLjIqzDfOAmlqcO4o","reezy, KALIM","STICKS & SEEDS","Four Music/Two Sides",81,131,3,"56818"
157,"spotify:track:1fjGhs8R8zSdW7k1CncpXA","Maxwell","Druff!","187 Strassenbande",11,135,10,"55860"
158,"spotify:track:5DqvoUR0STVl6qmXGTpYtK","AYLIVA, Milano","Bleib","Whiteheart Records/WM Germany",18,199,38,"55740"
159,"spotify:track:5QO79kh1waicV47BqGRL3g","The Weeknd","Save Your Tears","Republic Records",5,174,463,"55737"
160,"spotify:track:2bLqfJjuC5syrsgDsZfGmn","Timbaland, Keri Hilson, D.O.E.","The Way I Are","Interscope/Blackground Records",132,144,56,"55528"
161,"spotify:track:2dF8ClGQHJOfbViVG3dz6Y","SDP, 257ers","Scheiße baut sich nicht von alleine","Nur Musik Ist Schöner",33,153,31,"55514"
162,"spotify:track:0VO8gYVDSwM1Qdd2GsMoYK","Swedish House Mafia, The Weeknd","Moth To A Flame (with The Weeknd)","Republic Records",15,164,190,"55318"
163,"spotify:track:2tpWsVSb9UEmDRxAl1zhX1","OneRepublic","Counting Stars","Mosley / Interscope",135,-1,120,"55081"
164,"spotify:track:7iL6o9tox1zgHpKUfh9vuC","50 Cent","In Da Club","Shady Records",59,132,84,"54715"
165,"spotify:track:01F24uRyIWAkvdUPFpzanr","reezy","ITACHI FLOW","Four Music/Two Sides",4,140,49,"54600"
166,"spotify:track:0r1kH7SIkkPP9W7mUknObF","CRO","Easy","BMG Rights Management",141,173,11,"54528"
167,"spotify:track:60a0Rd6pjrkxjPbaKzXjfq","Linkin Park","In the End","Warner Records",10,166,1216,"54475"
168,"spotify:track:3gI4H2erqnndjeJYsEVoiQ","Eddin","Minirock","Epic/Eddin",76,133,3,"54439"
169,"spotify:track:4kLLWz7srcuLKA7Et40PQR","Black Eyed Peas","I Gotta Feeling","Interscope",18,126,221,"54367"
170,"spotify:track:0u2P5u6lvoDfwTYjAADbn4","Billie Eilish, Khalid","lovely (with Khalid)","Darkroom",46,-1,882,"54043"
171,"spotify:track:5WOnsi0Bug74LmhxcPfKvR","Topic, Robin Schulz, Nico Santos, Paul van Dyk","In Your Arms (For An Angel)","Virgin",42,148,94,"53910"
172,"spotify:track:6UelLqGlWMcVH1E5c4H7lY","Harry Styles","Watermelon Sugar","Columbia",15,181,524,"53852"
173,"spotify:track:2qODs6APT7sJTne7AZJPmx","Bibi Blocksberg","Bibi Blocksberg Lied","Kiddinx/WM Germany",107,-1,103,"53770"
174,"spotify:track:3Wrjm47oTz2sjIgck11l5e","Måneskin","Beggin'","RCA Records Label",1,169,336,"53719"
175,"spotify:track:7yq4Qj7cqayVTp3FF9CWbm","Vance Joy","Riptide","F-Stop Records/Atlantic",114,-1,120,"53708"
176,"spotify:track:2nkoFJcWeOJ6WXngWvfStK","reezy","VORSICHT!","Four Music/Two Sides",71,136,3,"53661"
177,"spotify:track:3v7VY6zmrXu2hzqmeCOd1Q","Pajel","10von10","Epic/DOPE",1,178,261,"53344"
178,"spotify:track:6f3Slt0GbA2bPZlz0aIFXN","Tiësto","The Business","Atlantic Records",3,143,557,"53031"
179,"spotify:track:0fGpq9oAZNnEvkqvhnjz7K","CRO","Ein Teil","BMG Rights Management",128,-1,10,"52971"
180,"spotify:track:673mWIgvtZVdRQVXhk4eEk","NGEE","INTRO","BRA MUSIC",67,146,3,"52953"
181,"spotify:track:6wyhUr4Xw8z5uSy0AhoZfU","Future, Drake","I'M ON ONE (feat. Drake)","Epic/Freebandz",126,156,3,"52611"
182,"spotify:track:7GIlBNE6pZRfoRfo4oL7f0","HBz","King Kong","Virgin",20,155,308,"52547"
183,"spotify:track:5CqkgDH8QZjSqqI3HmYxDD","Pashanim","Airwaves","Urban",1,192,675,"52200"
184,"spotify:track:6Z165JvPnS8PYvGW8oLGLc","Lauren Spencer Smith","Flowers","Three Name Productions, Inc./ Island Records & Republic Records",149,-1,8,"52031"
185,"spotify:track:003vvx7Niy0yvhvHt4a68B","The Killers","Mr. Brightside","Island Records",104,183,109,"51846"
186,"spotify:track:1oIzxvT61wXOtHjcL4Sybm","Esther Graf, Monet192","Nie begegnet","RCA Local",50,187,45,"51775"
187,"spotify:track:79lc69ZXfL4WmJIzVSDmWT","187 Strassenbande, Bonez MC, Frauenarzt","Extasy","187 Strassenbande",1,175,353,"51727"
188,"spotify:track:6a3kNt1UlUOapDKmEr3JzZ","Bausa, Apache 207","Madonna","WM Germany",1,162,435,"51558"
189,"spotify:track:1SC5rEoYDGUK4NfG82494W","Lil Nas X","MONTERO (Call Me By Your Name)","Columbia",1,-1,399,"51463"
190,"spotify:track:2a1o6ZejUi8U3wzzOtCOYw","Lucenzo, Big Ali","Vem Dancar Kuduro","Universal Music Distributed Labels",91,161,65,"51119"
191,"spotify:track:2eAvDnpXP5W0cVtiI0PUxV","Ruth B.","Dandelions","Columbia",127,-1,82,"51042"
