rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
1,"spotify:track:6yeZM8gyykjaf8w0GqRfK4","Nina Chuba","Wildberry Lillet","Jive",1,1,21,"732969"
2,"spotify:track:0g2leZuI3jD5pRsrRIDvYe","Miksu / Macloud, makko","Nachts wach","FUTURA",1,2,56,"489304"
3,"spotify:track:2q7jpVfCtcuRwcur9nQeuC","Liaze","PARADISE (MIT DIR)","VENTURA Records",2,3,98,"331987"
4,"spotify:track:4zN21mbAuaD0WqtmaTZZeP","James Hype, Miggy Dela Rosa","Ferrari","Universal-Island Records Ltd.",4,4,105,"320268"
5,"spotify:track:4uUG5RXrOk84mYEfFvj3cK","David Guetta, Bebe Rexha","I'm Good (Blue)","Parlophone UK",5,6,7,"312900"
6,"spotify:track:2XRn6Qu0Wd1KvOND8JbaTx","Luciano","Beautiful Girl","URBAN",1,5,126,"305254"
7,"spotify:track:5ucyKDPjLpYLGadsRO1wSB","DJ Robin, Schürze","Layla","Polydor x Island Records & Kontor New Media & Summerfield Records",1,7,119,"293908"
8,"spotify:track:4tRhRLBxIZ34Iw0eCuiC03","southstar","Miss You","Columbia/B1 Recordings",8,10,47,"280153"
9,"spotify:track:6ZjuBJah2xFEl4z3X20di3","Miksu / Macloud, makko","Nachts wach (Lila Wolken Bootleg)","FUTURA",8,9,7,"276911"
10,"spotify:track:76SBSmc38qQQSpkgBenb8U","Samra, TOPIC42","Kiss Me","Cataleya Edition",4,8,7,"271150"
11,"spotify:track:1DTVCRW8QPPteXXhBlohM2","Kontra K, Sido, Leony","Follow","Letzte Wölfe",3,11,56,"264172"
12,"spotify:track:5IgjP7X4th6nMNDh4akUHb","Chris Brown","Under The Influence","Chris Brown Entertainment/RCA Records",12,13,43,"251993"
13,"spotify:track:3LtpKP5abr2qqjunvjlX5i","Central Cee","Doja","Central Cee",11,12,42,"251716"
14,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",1,15,154,"245058"
15,"spotify:track:7fZBQnc0zXwVybgCIrQQil","Imanbek, BYOR","Belly Dancer","Musical Freedom",9,14,157,"240126"
16,"spotify:track:35DkXhxqTMiQB582tfjowU","Ion Miles, SiraOne, BHZ","Powerade","Sony Music/BHZ",2,16,133,"228381"
17,"spotify:track:4k6yZRw7M04gZE2uW12Cw6","Makar","Mood","Virgin",8,17,26,"218769"
18,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",9,20,544,"214502"
19,"spotify:track:5pUhMwmYr4gf6Lt3U5qsHz","Bonez MC, RAF Camora","Sommer","187 Strassenbande",1,19,28,"212148"
20,"spotify:track:6weT0OACEb3e4KLQJInf4I","Die Zipfelbuben, DJ Cashi","Olivia","Xtreme Sound Recordings",2,21,45,"200097"
21,"spotify:track:1W1N3usYjgI3XGQA0iX9Vq","Miksu / Macloud, t-low","Sehnsucht","FUTURA",1,18,182,"196263"
22,"spotify:track:76OGwb5RA9h4FxQPT33ekc","Rosa Linn","SNAP","Columbia",18,22,67,"186551"
23,"spotify:track:4h9wh7iOZ0GGn8QVp4RAOB","OneRepublic","I Ain't Worried","Interscope Records",23,24,87,"181075"
24,"spotify:track:75FEaRjZTKLhTrFGsfMUXR","Kate Bush","Running Up That Hill (A Deal With God)","Parlophone UK",2,23,97,"179857"
25,"spotify:track:3JXdzlvJJrKlmfBfoCLsOo","t-low, Miksu / Macloud","We Made It","Spinnup",1,25,134,"173601"
26,"spotify:track:6GomT970rCOkKAyyrwJeZi","Öwnboss, Sevek","Move Your Body","Musical Freedom",9,26,200,"169340"
27,"spotify:track:3kcKlOkQQEPVwxwljbGJ5p","Topic, A7S","Kernkraft 400 (A Better Day)","Virgin",25,27,73,"167251"
28,"spotify:track:72Mp1A8UUrYqNPi7GNTusj","Luciano","Präsi Suite - A COLORS SHOW","URBAN",28,34,3,"163365"
29,"spotify:track:3a0F2N6rXJSibQTp77xH4f","Domiziana","Ohne Benzin","Four Music Local",3,28,107,"159588"
30,"spotify:track:4yNNFapUZM7aTElXE2JveQ","Luciano","Frozen Tears","URBAN",2,30,35,"156126"
31,"spotify:track:4FXX4P3dxc1JMBx5wVRJ5N","Tream, treamiboii, HBz","LEBENSLANG - HBz Remix","HBzMusic",15,29,196,"154947"
32,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",1,31,611,"151550"
33,"spotify:track:7y2CanQNBGTd7EVJy80hLC","Kontra K","Nur für Dich","Letzte Wölfe",33,42,7,"142942"
34,"spotify:track:6A3SB2C4U6JtCavQOXLYNN","Benzz","Je M'appelle","Universal-Island Records Ltd.",9,33,121,"140351"
35,"spotify:track:2HZLXBOnaSRhXStMLrq9fD","Ghost","Mary On A Cross","Loma Vista Recordings",32,32,19,"137764"
36,"spotify:track:6sS77FZh2eJfYBsFUW6hjI","Julian Sommer","Dicht im Flieger","Electrola",4,39,158,"135191"
37,"spotify:track:2kx5sQgmjYug0GiDh1a4sU","Cheriimoya, Sierra Kidd","Living Life, In The Night","Arista Records",30,36,180,"134640"
38,"spotify:track:6oGnFxltTet4MD3yuT5WvX","SAIM x CAN","Tattoos","GOLD LEAGUE/RBK",31,37,21,"133460"
39,"spotify:track:2yjlYDiNiQkdxVqTlaSrlX","Nicki Minaj","Super Freaky Girl","Republic Records",39,40,21,"132347"
40,"spotify:track:7KWwQ8SokgUDO7es6Q4ZGW","ARY, Liaze","Ticket nach Ketama (feat. Liaze)","Good Kid Records & VENTURA Records",4,38,42,"131903"
41,"spotify:track:0JNsMT5sp3l7KLWQ99DHee","Kontra K","Kampfgeist V","Letzte Wölfe",18,35,7,"131841"
42,"spotify:track:7k6aVgrtJqNTMVqk5yMWKD","Bonez MC, RAF Camora","Letztes Mal","187 Strassenbande",2,41,50,"130843"
43,"spotify:track:2CewvqbfMOcnvYE3yayAJV","KAMRAD","I Believe","Epic Local",30,43,221,"123182"
44,"spotify:track:0y8lwLPXBsenbF5WAZhlbL","Pashanim","Kleiner Prinz","Urban",2,44,57,"121545"
45,"spotify:track:4h4QlmocP3IuwYEj2j14p8","Nicky Youre, dazy","Sunroof","Thirty Knots/Columbia",40,45,112,"121133"
46,"spotify:track:2B4GHvToeLTOBB4QLzW3Ni","Farruko","Pepas","Sony Music Latin",2,47,385,"120010"
47,"spotify:track:02AnxXaXzxredcMjjb26U0","Bierkapitän, Andy Luxx, Dj Aaron","Lea","Electrola",20,49,21,"115556"
48,"spotify:track:53g6tgjn3Ex6o3Q8hcIxkG","Theo Junior","Ups & Downs","Theo Junior",9,48,49,"115023"
49,"spotify:track:1BXzcQIefsxu65hENcPA6k","102 Boyz, The Cratez, Chapo102, Skoob102, Stacks102","Mit den Boyz (feat. Chapo102, Skoob102 & Stacks102)","GOLD LEAGUE/RBK",31,46,7,"114229"
50,"spotify:track:0skYUMpS0AcbpjcGsAbRGj","BLACKPINK","Pink Venom","YG Entertainment/Interscope Records",22,50,14,"113847"
51,"spotify:track:3uUuGVFu1V7jTQL60S1r8z","Lost Frequencies, Calum Scott","Where Are You Now","Epic Amsterdam",3,51,399,"111902"
52,"spotify:track:27ZZdyTSQWI7Cug2d2PkqV","Armani White","BILLIE EILISH.","Legendbound, LLC / Def Jam Recordings",52,55,61,"108567"
53,"spotify:track:2sFsvaMRe8PKo5AFdBE9qC","Montez","Auf & Ab","Vertigo Berlin",1,57,399,"105934"
