rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
1,"spotify:track:1JpzJfxjHGFUyTHXLZidok","Ryan Castro, Feid","Monastery","UMLE - Latino",1,1,51,"136178"
2,"spotify:track:6lX6l7OuA3qrnIRfdsr0dw","Blessd, Justin Quiles, Lenny Tavárez","Medallo","WEA Latina",1,2,67,"119854"
3,"spotify:track:7mSmItMB11IWTIEOVKLxuG","Néstor Zavarce","Cinco Pa' las 12","Los Mélodicos",3,82,17,"113583"
4,"spotify:track:17jcYtUYRhpPL19fDedfTD","Ryan Castro","Wasa Wasa","King Records",3,3,149,"90306"
5,"spotify:track:2JPLbjOn0wPCngEot2STUS","Bad Bunny","Yonaguni","Rimas Entertainment LLC",1,4,212,"85735"
6,"spotify:track:0bjxkAYIxs0V1ahOthIoX7","Rodolfo Aicardi, La Tipica Ra7","Cariñito","3657146 Records DK",3,42,66,"81269"
7,"spotify:track:2rDZhKnPaPG054ExZ6nXUS","Ryan Castro","Jordan","King Records",4,5,237,"76727"
8,"spotify:track:06VcxmEJHf3gutIjC935g4","Billo's","Año Nuevo","Fm Entretenimiento S.A.S.",8,112,25,"76688"
9,"spotify:track:5PZlMcW7VUlti8IRdApRIn","Tony Camargo","El Año Viejo","RCA Records Label",9,85,18,"71962"
10,"spotify:track:4CO9UNnLewlBcthMau8Ipj","Pastor Lopez","El Ausente","YOYO USA Digital",5,52,40,"71495"
11,"spotify:track:0iBnBKr3WmhxWxCyuyPoSp","Rodolfo Aicardi, La Tipica Ra7","Adonay","3657146 Records DK",8,56,68,"70038"
12,"spotify:track:5QLs1kIWkkxcdUBfTkqWBX","Feid","VACAXIONES","Universal Music Latino",1,6,65,"67374"
13,"spotify:track:6KDmcTbWWYNeKoAZZ9mVrS","Rodolfo Aicardi, La Tipica Ra7","Tabaco y Ron","3657146 Records DK",11,59,69,"67258"
14,"spotify:track:0wPpztRZgvcRCdk3jtHS7r","Pastor Lopez","Las Caleñas","YOYO USA Digital",6,55,48,"65879"
15,"spotify:track:3TqgsPZFuI33G3939uyQ1v","Pastor Lopez Y Su Combo","El Hijo Ausente","2015 Discos Fuentes",12,57,63,"65296"
16,"spotify:track:5fNJ6mhN9NBOELN7Nw8dzJ","Pipe Bueno, Jessi Uribe, Yeison Jimenez, Carin Leon, Alzate, Darío Gómez, Luis Alberto Posada, El Charrito Negro, Jhonny Rivera, Jhon Alex Castaño, Juan Pablo Navarrete","Guaro - Remix","YT Rocket",16,37,107,"64675"
17,"spotify:track:4gzsuuZypVbxs0Af1LSZyB","Tainy, Bad Bunny, Julieta Venegas","Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)","Neon16",1,7,89,"63868"
18,"spotify:track:6C3UW9oW2iCnoMMHkGjnPF","Calixto Ochoa y Su Conjunto, Los Corraleros De Majagual","Los Sabanales","2019 Discos Fuentes",6,66,82,"62155"
19,"spotify:track:0J3K43YwdkPzfce68mdQrW","Espinoza Paz","Soltero Feliz","Viernes Music, S.A de C.V.",19,60,217,"61606"
20,"spotify:track:5pLDHytVHRM7eXnOy6zHM7","Armando Hernandez, El Combo Caribe","Loquito por Ti","2015 Discos Fuentes",12,62,39,"60918"
21,"spotify:track:1SCYfmGM5ueb6YiiQbLXVn","Feid","SI TÚ SUPIERAS - Bonus Track","Universal Music Latino",1,8,135,"58344"
22,"spotify:track:3Dw69iKKgj2U3JzeeftBbx","Vallenatos Nativos","Traicionera","Countdown Media",7,63,50,"57623"
23,"spotify:track:0aZnyTWJNgdzYoOiaW8HKG","KAROL G","200 COPAS","UMLE - Latino",12,20,282,"55443"
24,"spotify:track:2MnLkFqY9Rpg9s3Zv6ZJdK","Gera MX, Christian Nodal","Botella Tras Botella","Virgin Music México",3,23,254,"54793"
25,"spotify:track:2C6eINAA8cO6e5a8PjnWsK","Feid","AMOR DE MI VIDA","Universal Music Latino",2,9,16,"53216"
26,"spotify:track:2B4GHvToeLTOBB4QLzW3Ni","Farruko","Pepas","Sony Music Latin",2,18,175,"52053"
27,"spotify:track:4MzXwWMhyBbmu6hOcLVD49","Bad Bunny, Jhay Cortez","DÁKITI","Rimas Entertainment LLC",1,12,429,"51283"
28,"spotify:track:7x2q5q9h2ZegxQLDhqJ2VP","Rodolfo Aicardi, La Tipica Ra7","Daniela","3657146 Records DK",16,79,41,"51249"
29,"spotify:track:2WrqTrNIHqfcMCgmEo0A7E","Feid, KAROL G","FRIKI","Universal Music Latino",5,10,23,"51093"
30,"spotify:track:3rdAz1fbUfZxYgaCviYhRo","Rauw Alejandro","Todo De Ti","Sony Music Latin/Duars Entertainment",1,13,226,"49293"
31,"spotify:track:4HzqWEdAbzcVFDv0pvxV4w","Maluma","Sobrio","Sony Music Latin",5,14,177,"49078"
32,"spotify:track:4gxfuOAL2EUg62xO12Ni10","Rodolfo Aicardi, La Tipica Ra7","Ojitos Hechiceros","3657146 Records DK",23,86,32,"48112"
33,"spotify:track:1JXcB149QtbcIpDUA6YZOB","Grupo Niche","Algo Que Se Quede","Grupo Niche",28,30,117,"47714"
34,"spotify:track:2naqSVQHgiaoEpxtkVOhmK","Dimension Latina","Llorarás","Musart-Balboa",34,64,649,"46995"
35,"spotify:track:0G2zPzWqVjR68iNPmx2TBe","Mora, Bad Bunny, Sech","Volando - Remix","Rimas Entertainment LLC",4,11,178,"46713"
36,"spotify:track:7LTXSSYPaFawdv9S0b9MQr","Rodolfo Aicardi, La Tipica Ra7","La Colegiala","3657146 Records DK",21,95,28,"45213"
37,"spotify:track:6adK8xCmHfwko5N1FEDqoT","Joaquin Guiller","Usted No Me Olvida","YT Rocket",37,58,191,"44174"
38,"spotify:track:2vmfvSoZBFAt9hhRoEByLi","Aventura, Bad Bunny","Volví","Rimas Entertainment LLC",2,15,152,"44121"
39,"spotify:track:6n7g87PKuRMXQFgUnM3ri1","DJ Dever, La Toxi Costeña","Macta Llega","Passa Passa Sound System S.A.S",39,83,53,"43709"
40,"spotify:track:4yQkzBFn3V1IOdx0ic20tx","Joe Arroyo, La Verdad","En Barranquilla Me Quedo","2015 Discos Fuentes",28,94,166,"43479"
41,"spotify:track:78kygHp1dvW1kncYjBgbe1","Ryan Castro","Mujeriego","Sony Music Entertainment",21,26,15,"43264"
42,"spotify:track:0hRfaXRQhSAqMUCon1QT3Y","Guillermo Buitrago, Los Trovadores de Baru","Vispera de Año Nuevo","2015 Discos Fuentes",31,163,25,"43139"
43,"spotify:track:7al6OaakdGoXtEGRy05lgu","Jessi Uribe","Dulce Pecado","Mano de Obra",16,76,1019,"43029"
44,"spotify:track:1jD48pmiHMSVHHPzKLi4P3","Eddy Herrera","Tu Eres Ajena","J&N Records",44,131,23,"42399"
45,"spotify:track:5TMLavqGRKNxgzMBrVpC9R","zzoilo, Aitana","Mon Amour - Remix","Universal Music Spain S.L.",9,16,109,"42331"
46,"spotify:track:1Z6fpTTJelPqdI4CwvnpK4","Grupo Niche","Cali Pachanguero","Codiscos",46,104,24,"42294"
47,"spotify:track:58sCyRSFBV0m60kbV9rtp9","Silvestre Dangond","Las Locuras Mías","Sony Music Latin",5,54,437,"41523"
48,"spotify:track:2q9udNV9NK0BL3q9p6TLxf","ChiChi Peralta, Jandy Feliz","Procura","Caiman Music",46,68,808,"41222"
49,"spotify:track:05bfbizlM5AX6Mf1RRyMho","Nio Garcia, J Balvin, Bad Bunny","AM Remix","Flow La Movie",3,17,191,"41208"
50,"spotify:track:2ThSBT4fDS83BWu3iMjMRn","Blessd","Quien TV","WEA Latina",18,19,67,"40318"
51,"spotify:track:0V0350NvG0jvbiUTXPzIXU","Marbelle","Adicta al Dolor","FC Entertainment LLC",51,69,327,"40284"
52,"spotify:track:4T18CIOag4LfuqqfzyBQmw","Ryan Castro","Malory","King Records",17,22,102,"39822"
53,"spotify:track:2K1CQMoG2Dy5nmeOYnhoi8","J Balvin, KAROL G, Nicky Jam, Crissin, Totoy El Frio, Natan & Shander","Poblado - Remix","Sueños Globales, LLC",4,24,198,"39335"
54,"spotify:track:6D2TCm4nf5nxAcdGJ7w3QP","J Balvin, Maria Becerra","Qué Más Pues?","Sueños Globales, LLC",2,21,219,"38787"
55,"spotify:track:0Vx3Tpg4zOYS8yOMNDDXHx","Rodolfo Aicardi, Los Hispanos","Cantares de Navidad","2015 Discos Fuentes",19,159,26,"38634"
56,"spotify:track:38Qu8Yfc7LyBouqhvQxn6u","Los Corraleros De Majagual, Eliseo Herrera","La Burrita","2021 Discos Fuentes",36,156,25,"38259"
57,"spotify:track:0ftcn4ddKESqQMA784Ebc0","Yeison Jimenez","Aventurero","Sony Music Entertainment",23,99,571,"37830"
58,"spotify:track:1Fp4njyRHJYyMTKP899c0q","Fruko Y Sus Tesos, Wilson ""Saoko"" Manyoma","El Preso","2018 Discos Fuentes",55,140,29,"37396"
59,"spotify:track:0z7h1C28EemMAFcpkp0iWL","Alzate, Yeison Jimenez","Mi Venganza","YT Rocket",59,78,194,"37336"
60,"spotify:track:2FDFz5TuYlpP180AUicAcl","Vicente Fernández","Acá Entre Nos","Columbia",12,113,17,"36586"
61,"spotify:track:5UcFBZjRxPH4fQbRrkGwjT","Lisandro Meza","El Hijo de Tuta","Cafe Records",33,144,21,"36373"
62,"spotify:track:4sqWFfgDfDt0g7iROxQsPl","Nelson Henriquez, Pastor Lopez","Sorbito De Champagne","YOYO USA, Inc.",29,132,24,"36100"
63,"spotify:track:15DUcGdD7BnGEJW6cZmtbd","Joe Arroyo, La Verdad","La Noche","2015 Discos Fuentes",42,130,43,"35765"
64,"spotify:track:6PZJ0KGPouPGsA2PQnSth7","Lisandro Meza","Entre Rejas","Cafe Records",46,126,10,"35704"
65,"spotify:track:4jRxEVNituPZObHbCSBZL3","Fulanito","Guallando","Cutting Records",65,-1,5,"35690"
66,"spotify:track:0uy25GJVvIL2qhCYoR676k","Pastor Lopez","Golpe Con Golpe","Discos Fuentes",39,180,20,"34875"
67,"spotify:track:12bHtWebsbKBzUDmghtKbb","Rodolfo Aicardi, Los Hispanos","Boquita de Caramelo","2015 Discos Fuentes",26,185,23,"34726"
68,"spotify:track:17Sfr3T1chYPGcmM4VlhCh","Guayacán Orquesta","Oiga, Mire, Vea","Fm Entretenimiento S.A.S.",68,133,17,"34628"
69,"spotify:track:2qvQPI8SPTB9AFr1de3X71","Rodolfo Aicardi, Los Hispanos","Feliz Nochebuena","2015 Discos Fuentes",22,165,27,"34618"
70,"spotify:track:6YKKSegyatUenOnrb7yIPG","La Gran Banda Caleña, Jorge Solís","Así Te Quiero Yo","2019 Discos Fuentes",44,125,18,"34605"
71,"spotify:track:3eFL5cxO22TpyjK3wNb27q","Feid","TE MATA","Universal Music Latino",5,25,135,"34089"
72,"spotify:track:4LpLAy1TgTVg097hienIjS","Giblack","El Avioncito","YT Rocket",72,149,4,"33638"
73,"spotify:track:30RgZM0hngr1UOy4rs7WYf","Sergio Vargas","La Ventanita","Sony Special Products",73,-1,5,"33296"
74,"spotify:track:1yoMvmasuxZfqHEipJhRbp","Maluma","Hawái","Sony Music Latin",1,33,522,"33026"
75,"spotify:track:0bG3QayaeR7NAGgq7c17mX","Otto Serge, Rafael Ricardo","Señora","Codiscos",75,111,90,"32618"
76,"spotify:track:61xyQGDYH9yMn4H9MpTh3g","Diomedes Diaz, Juancho Rois","La Plata","SBME Strategic Marketing Group",72,-1,8,"32436"
77,"spotify:track:0LdlVrH3R9PCfaVNNVANgl","Héctor Lavoe, Willie Colón, Yomo Toro","Aires De Navidad","Fania",24,177,26,"32391"
78,"spotify:track:16ONd70tvWAaLIc6hcLzaG","Christian Nodal","Aquí Abajo","Universal Music Mexico",37,74,482,"32221"
