rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
1,"spotify:track:4JK1kDUdH9RTBQrrSO1QfR","Yuuri","ベテルギウス","Sony Music Labels Inc.",1,1,149,"198173"
2,"spotify:track:5W7Y92LB4jWvu9NeEQ0GZl","Macaroni Empitsu","なんでもないよ、","Toy's Factory",1,2,150,"194458"
3,"spotify:track:0J0P8iSE6l3pYHbUdNFYdS","King Gnu","カメレオン","Sony Music Labels Inc.",1,3,34,"186734"
4,"spotify:track:4IfrM44LofE9bSs6TDZS49","Tani Yuuki","W / X / Y","Valley Records",4,5,97,"186426"
5,"spotify:track:7v8wKvNQQIxkugCFFjrkaO","Aimer","残響散歌","Sony Music Labels Inc.",1,4,118,"184366"
6,"spotify:track:1Vqs0lXeJafYZz2sxnfB3V","Saucy Dog","Cinderella Boy","A-Sketch",3,6,174,"183811"
7,"spotify:track:4kPlQKwtPrnqLgrmmKFSlA","Yuuri","ドライフラワー","Sony Music Labels Inc.",1,7,517,"167896"
8,"spotify:track:5m1i6hq7dmRlp3c1utE48L","back number","水平線","Universal Music LLC",1,8,232,"156371"
9,"spotify:track:7ncPjJBktLEOpstY5JOUMK","King Gnu","一途","Sony Music Labels Inc.",1,9,114,"149998"
10,"spotify:track:51oc6MEsXTpnPn6GOw5VuP","Fujii Kaze","きらり","Universal Music LLC",3,10,335,"149861"
11,"spotify:track:6ZiEWet0uFRwWBCEKCQ8rY","King Gnu","逆夢","Sony Music Labels Inc.",1,11,100,"148030"
12,"spotify:track:19mjCzLuMHZ0Tyn3eI85bo","Yuuri","シャッター","Sony Music Labels Inc.",10,12,269,"145197"
13,"spotify:track:0XZyF9lv6diMt4bxThOL0h","Awesome City Club","勿忘","cutting edge",3,13,430,"141540"
14,"spotify:track:1zd35Y44Blc1CwwVbW3Qnk","YOASOBI","群青","YOASOBI",5,14,578,"139883"
15,"spotify:track:1mWdTewIgB3gtBM3TOSFhB","BTS","Butter","BIGHIT MUSIC",1,15,314,"137138"
16,"spotify:track:5QDLhrAOJJdNAmCTJ8xMyW","BTS","Dynamite","BIGHIT MUSIC",1,17,589,"136755"
17,"spotify:track:5PeXak0Ox3JmH2oor0qnGt","Vaundy","恋風邪にのせて","SDR Inc.",14,16,26,"134439"
18,"spotify:track:2IL2asrtx7XM1y8fu2RMnR","Da-iCE","CITRUS","avex trax",8,18,460,"132203"
19,"spotify:track:5PjdY0CKGZdEuoNab3yDmX","The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)","Columbia",7,19,267,"127984"
20,"spotify:track:3XYRV7ZSHqIRDG87DKTtry","BTS","Permission to Dance","BIGHIT MUSIC",1,20,267,"126323"
21,"spotify:track:6MCjmGYlw6mQVWRFVgBRvB","YOASOBI","夜に駆ける","YOASOBI",1,22,747,"124293"
22,"spotify:track:0hQNbQKW2dDATH1ngj4TI6","Kep1er","WA DA DA","Genie Music Corporation, Stone Music Entertainment",12,21,89,"124195"
23,"spotify:track:6cvKfEw8rDcmXBslqSEC9G","Aimyon","Heart","WM Japan",9,24,164,"120135"
24,"spotify:track:3PK5ERLCyMuQ5Cb89GbZVL","Takaya Kawasaki","魔法の絨毯","Warner Music D.N.A.",13,23,564,"119315"
25,"spotify:track:1sIIlVrnPhrvmTrHtzM7tV","Mrs. GREEN APPLE, Sonoko Inoue","点描の唄","Universal Music LLC",17,26,1040,"117374"
26,"spotify:track:4xk70Qur2QeRmWIzWPC63V","Vaundy","踊り子","SDR Inc.",7,27,136,"115957"
27,"spotify:track:6uhIF5J5Txaie0is2nXdxU","YOASOBI","怪物","YOASOBI",4,25,451,"115739"
28,"spotify:track:6wDntdm888mDo458RaYjGl","Official HIGE DANdism","Cry Baby","IRORI Records",3,28,331,"114218"
29,"spotify:track:6tkSMR8bEIfEcJn7ybJtSP","HENTAI SHINSHI CLUB","YOKAZE","TOY'S FACTORY",14,29,486,"112797"
30,"spotify:track:6IO5nn84TKArsi3cjpIqaD","Ryokuoushoku Shakai","Mela!","Sony Music Labels Inc.",21,30,704,"108214"
31,"spotify:track:0UBUg8NU4XJtQqzTPs8Pkr","YOASOBI","三原色","YOASOBI",4,32,275,"108210"
32,"spotify:track:3OdkC5pG8vc26S26qHyBo8","Fujii Kaze","まつり","Universal Music LLC",13,31,13,"106911"
33,"spotify:track:6qn31XzTa6YKXs5FZpAPgP","Chippoke Ohashi","常緑","TRIAD/Nippon Columbia Co., Ltd.",16,33,147,"106258"
34,"spotify:track:0FOVGBW0RpVRuDuUuN4ZVw","MAISONdes, 和ぬか, asmi","ヨワネハキ","Sony Music Labels Inc.",10,34,245,"104654"
35,"spotify:track:1qE8DOtw7zdXHMgZm20eLM","TWICE","The Feels","Republic Records - TWICE",10,35,183,"102104"
36,"spotify:track:0871AdnvzzSGr5XdTJaDHC","Ado","踊","Universal Music LLC",9,36,340,"101084"
37,"spotify:track:278JqkBGkjDovOYAwE8TW7","Official HIGE DANdism","115万キロのフィルム","LASTRUM",6,38,1062,"99299"
38,"spotify:track:7DyS11kB1YNrfDzQqtjmTh","HIRAIDAI","Stand by me, Stand by you.","avex trax",4,40,568,"99029"
39,"spotify:track:3oQaOjaIYPsnJbGNzXcIID","King Gnu","BOY","Sony Music Labels Inc.",10,37,170,"97810"
40,"spotify:track:15HNdxGKNCIO9pgaY4n7FU","Official HIGE DANdism","Pretender","PONY CANYON INC.",1,39,1081,"97629"
41,"spotify:track:6ts1KCOudfDYXYfyWtq0k1","milet, Aimer, Lilas Ikuta","おもかげ (produced by Vaundy)","THE FIRST TAKE MUSIC",25,41,106,"96654"
42,"spotify:track:7n2FZQsaLb7ZRfRPfEeIvr","IVE","ELEVEN","STARSHIP Entertainment",22,42,121,"94081"
43,"spotify:track:6sIx7Cn37DGEhjy9hBP8Gx","DISH//","猫","Sony Music Labels Inc.",16,43,703,"92482"
44,"spotify:track:5wWLNNwMAehpj83FU4Lz0m","Official HIGE DANdism","I Love...","IRORI Records",1,44,809,"91594"
45,"spotify:track:3mSqtn05vfpqAMpFTLsxpi","Yoru no Hitowarai","ミライチズ","夜のひと笑い",13,45,221,"91180"
46,"spotify:track:2cBAc8f0ueFKSXGQRJRsyN","YOASOBI","もう少しだけ","YOASOBI",8,46,327,"89850"
47,"spotify:track:6y4GYuZszeXNOXuBFsJlos","Eve","Kaikai Kitan","TOY'S FACTORY",7,47,543,"88168"
48,"spotify:track:7eqjbcOZTgZbV0lX2ghtfV","Masaki Suda","虹","Sony Music Labels Inc.",4,48,508,"87218"
49,"spotify:track:10Eyo4juZQFthKqlJgGMdp","back number","怪盗","Universal Music LLC",10,50,313,"85237"
50,"spotify:track:0tMqllhrXe8CWOosrCD1fE","Yuuri","かくれんぼ","Sony Music Labels Inc.",13,49,678,"85126"
51,"spotify:track:0rPrGZTtScNSRL2jZoooKO","BE:FIRST","Bye-Good-Bye","B-ME",51,51,27,"72573"
52,"spotify:track:6mJIn3fvwWHHAnrR3LEdxp","RADWIMPS","Ms. Phenomenal","voque ting co., ltd.",51,52,29,"72416"
53,"spotify:track:10zz9RZt9DnqcxNWksRNrx","Vaundy","怪獣の花唄","株式会社SDR",53,54,486,"67593"
54,"spotify:track:6EuubEs5qOmJdpNhkU47OZ","Lilas Ikuta","スパークル","幾田りら",51,53,74,"67393"
55,"spotify:track:0v3iUTe5rskRsxbUhboRlT","Saucy Dog","Itsuka","MASH A&R",53,55,687,"64801"
56,"spotify:track:3eg3igrhEhzk8bqqRz6XCt","Yuuri","レオ","Sony Music Labels Inc.",51,58,80,"60843"
