rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
1,"spotify:track:4IfrM44LofE9bSs6TDZS49","Tani Yuuki","W / X / Y","Valley Records",1,1,158,"234092"
2,"spotify:track:60ReNXcPcsVFd7nUuQw5HZ","Official HIGE DANdism","Mixed Nuts","IRORI Records",2,2,49,"224163"
3,"spotify:track:1Vqs0lXeJafYZz2sxnfB3V","Saucy Dog","Cinderella Boy","A-Sketch",2,3,235,"217414"
4,"spotify:track:4JK1kDUdH9RTBQrrSO1QfR","Yuuri","ベテルギウス","Sony Music Labels Inc.",1,4,210,"197983"
5,"spotify:track:2uMNMcjjUz8oNIxjIu20qE","SEKAI NO OWARI","Habit","Universal Music LLC",5,5,32,"188653"
6,"spotify:track:5W7Y92LB4jWvu9NeEQ0GZl","Macaroni Empitsu","なんでもないよ、","Toy's Factory",1,6,211,"174448"
7,"spotify:track:3sFdaHo9D3hfiFt2wVi6a5","Kenshi Yonezu","M八七","Sony Music Labels Inc.",4,7,21,"161354"
8,"spotify:track:0rPrGZTtScNSRL2jZoooKO","BE:FIRST","Bye-Good-Bye","B-ME",8,8,88,"161160"
9,"spotify:track:0J0P8iSE6l3pYHbUdNFYdS","King Gnu","カメレオン","Sony Music Labels Inc.",1,9,95,"159220"
10,"spotify:track:5SuOikwiRyPMVoIQDJUgSV","Gen Hoshino","Comedy","Speedstar",6,10,56,"157257"
11,"spotify:track:4kPlQKwtPrnqLgrmmKFSlA","Yuuri","ドライフラワー","Sony Music Labels Inc.",1,12,578,"154351"
12,"spotify:track:5m1i6hq7dmRlp3c1utE48L","back number","水平線","Universal Music LLC",1,11,293,"151062"
13,"spotify:track:1VHL1PIkhDwWbFc65xHwOr","Novelbright","愛とか恋とか","Universal Music LLC",13,13,45,"145884"
14,"spotify:track:2IL2asrtx7XM1y8fu2RMnR","Da-iCE","CITRUS","avex trax",8,15,521,"139591"
15,"spotify:track:19mjCzLuMHZ0Tyn3eI85bo","Yuuri","シャッター","Sony Music Labels Inc.",9,14,330,"138838"
16,"spotify:track:51oc6MEsXTpnPn6GOw5VuP","Fujii Kaze","きらり","Universal Music LLC",3,16,396,"133976"
17,"spotify:track:5PeXak0Ox3JmH2oor0qnGt","Vaundy","恋風邪にのせて","SDR Inc.",13,17,87,"133900"
18,"spotify:track:7v8wKvNQQIxkugCFFjrkaO","Aimer","残響散歌","Sony Music Labels Inc.",1,18,179,"130364"
19,"spotify:track:5QDLhrAOJJdNAmCTJ8xMyW","BTS","Dynamite","BIGHIT MUSIC",1,19,650,"128350"
20,"spotify:track:1zd35Y44Blc1CwwVbW3Qnk","YOASOBI","群青","YOASOBI",5,20,639,"126513"
21,"spotify:track:1mWdTewIgB3gtBM3TOSFhB","BTS","Butter","BIGHIT MUSIC",1,21,375,"126162"
22,"spotify:track:6ZiEWet0uFRwWBCEKCQ8rY","King Gnu","逆夢","Sony Music Labels Inc.",1,22,161,"123383"
23,"spotify:track:0XZyF9lv6diMt4bxThOL0h","Awesome City Club","勿忘","cutting edge",3,23,491,"120031"
24,"spotify:track:3XYRV7ZSHqIRDG87DKTtry","BTS","Permission to Dance","BIGHIT MUSIC",1,26,328,"119228"
25,"spotify:track:7ncPjJBktLEOpstY5JOUMK","King Gnu","一途","Sony Music Labels Inc.",1,25,175,"119220"
26,"spotify:track:0Q5VnK2DYzRyfqQRJuUtvi","IVE","LOVE DIVE","STARSHIP Entertainment",7,27,58,"119171"
27,"spotify:track:1sIIlVrnPhrvmTrHtzM7tV","Mrs. GREEN APPLE, Sonoko Inoue","点描の唄","Universal Music LLC",17,24,1101,"119028"
28,"spotify:track:296nXCOv97WJNRWzIBQnoj","LE SSERAFIM","FEARLESS","SOURCE MUSIC",15,28,31,"116359"
29,"spotify:track:6MCjmGYlw6mQVWRFVgBRvB","YOASOBI","夜に駆ける","YOASOBI",1,31,808,"114349"
30,"spotify:track:3PK5ERLCyMuQ5Cb89GbZVL","Takaya Kawasaki","魔法の絨毯","Warner Music D.N.A.",13,30,625,"113207"
31,"spotify:track:6tkSMR8bEIfEcJn7ybJtSP","HENTAI SHINSHI CLUB","YOKAZE","TOY'S FACTORY",14,29,547,"112932"
32,"spotify:track:5PjdY0CKGZdEuoNab3yDmX","The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)","Columbia",7,32,328,"110320"
33,"spotify:track:6IO5nn84TKArsi3cjpIqaD","Ryokuoushoku Shakai","Mela!","Sony Music Labels Inc.",21,33,765,"109427"
34,"spotify:track:6wDntdm888mDo458RaYjGl","Official HIGE DANdism","Cry Baby","IRORI Records",3,36,392,"107925"
35,"spotify:track:6qn31XzTa6YKXs5FZpAPgP","Chippoke Ohashi","常緑","TRIAD/Nippon Columbia Co., Ltd.",16,34,208,"106155"
36,"spotify:track:6uhIF5J5Txaie0is2nXdxU","YOASOBI","怪物","YOASOBI",4,37,512,"105938"
37,"spotify:track:4xk70Qur2QeRmWIzWPC63V","Vaundy","踊り子","SDR Inc.",7,38,197,"105294"
38,"spotify:track:6cvKfEw8rDcmXBslqSEC9G","Aimyon","Heart","WM Japan",9,35,225,"104028"
39,"spotify:track:278JqkBGkjDovOYAwE8TW7","Official HIGE DANdism","115万キロのフィルム","LASTRUM",6,40,1123,"102947"
40,"spotify:track:0UBUg8NU4XJtQqzTPs8Pkr","YOASOBI","三原色","YOASOBI",4,39,336,"101985"
41,"spotify:track:1qE8DOtw7zdXHMgZm20eLM","TWICE","The Feels","Republic Records - TWICE",10,41,244,"99954"
42,"spotify:track:15HNdxGKNCIO9pgaY4n7FU","Official HIGE DANdism","Pretender","PONY CANYON INC.",1,43,1142,"98779"
43,"spotify:track:0hQNbQKW2dDATH1ngj4TI6","Kep1er","WA DA DA","Genie Music Corporation, Stone Music Entertainment",12,44,150,"97704"
44,"spotify:track:0FOVGBW0RpVRuDuUuN4ZVw","MAISONdes, 和ぬか, asmi","ヨワネハキ","Sony Music Labels Inc.",10,42,306,"97004"
45,"spotify:track:6sIx7Cn37DGEhjy9hBP8Gx","DISH//","猫","Sony Music Labels Inc.",16,45,764,"95686"
46,"spotify:track:7DyS11kB1YNrfDzQqtjmTh","HIRAIDAI","Stand by me, Stand by you.","avex trax",4,46,629,"95634"
47,"spotify:track:5wWLNNwMAehpj83FU4Lz0m","Official HIGE DANdism","I Love...","IRORI Records",1,47,870,"90471"
48,"spotify:track:7n2FZQsaLb7ZRfRPfEeIvr","IVE","ELEVEN","STARSHIP Entertainment",22,48,182,"90276"
49,"spotify:track:6ts1KCOudfDYXYfyWtq0k1","milet, Aimer, Lilas Ikuta","おもかげ (produced by Vaundy)","THE FIRST TAKE MUSIC",25,50,167,"87965"
50,"spotify:track:0871AdnvzzSGr5XdTJaDHC","Ado","踊","Universal Music LLC",9,49,401,"87796"
51,"spotify:track:10zz9RZt9DnqcxNWksRNrx","Vaundy","怪獣の花唄","株式会社SDR",51,51,547,"78148"
52,"spotify:track:0zfNtgPJ5FLkbveRjSdCMb","Kyanai","Vanilla","ENS Entertainment",52,53,46,"75936"
53,"spotify:track:0v3iUTe5rskRsxbUhboRlT","Saucy Dog","Itsuka","MASH A&R",52,54,748,"73634"
54,"spotify:track:3bbIIVIwBoLqVcLebiEJFo","Creepy Nuts","のびしろ","Sony Music Labels Inc.",53,55,275,"72182"
55,"spotify:track:3ibqi5ANZtNI7QXOgUnFsL","Uru","それを愛と呼ぶなら","Sony Music Labels Inc.",52,52,32,"71450"
56,"spotify:track:4NaaF28BeO9WzjDrSS71Nz","Mrs. GREEN APPLE","ダンスホール","Universal Music LLC",56,56,9,"70605"
57,"spotify:track:7537JfhvVpEqkrY2CIY7zu","YOASOBI","好きだ","YOASOBI",55,60,3,"68519"
58,"spotify:track:6EuubEs5qOmJdpNhkU47OZ","Lilas Ikuta","スパークル","幾田りら",51,58,135,"67567"
59,"spotify:track:1vT6VdL9PrHOBziwubdt29","Aimyon","My First Love is Crying","WM Japan",53,57,22,"66304"
60,"spotify:track:6Pd73yNBtoVpTRM6xLwOGp","BUMP OF CHICKEN","クロノスタシス","Toy's Factory",52,61,52,"64444"
61,"spotify:track:55emtNBnUXszixuQj4Fg6I","Creepy Nuts, Ayase, Lilas Ikuta","ばかまじめ","Sony Music Labels Inc.",54,59,74,"64075"
62,"spotify:track:3l2O4IuJ4DFEfUwDdWyPnf","milet","Walkin' In My Lane","Sony Music Labels Inc.",61,62,29,"59844"
