rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
1,"spotify:track:0Q5VnK2DYzRyfqQRJuUtvi","IVE","LOVE DIVE","STARSHIP Entertainment",1,1,27,"24359"
2,"spotify:track:3TSLqZssCoCdDlMhCJ08XW","BIGBANG","Still Life","YG Entertainment",1,2,28,"20478"
3,"spotify:track:2gzhQaCTeNgxpeB2TPllyY","Jimin, HA SUNG WOON","With you","Genie Music Corporation, Stone Music Entertainment",2,3,8,"17874"
4,"spotify:track:0IGUXY4JbK18bu9oD4mPIm","(G)I-DLE","TOMBOY","Cube Entertainment",1,4,49,"16574"
5,"spotify:track:5oH4DQAuu1J1800RzUsBWa","PSY, SUGA","That That (prod. & feat. SUGA of BTS)","P NATION",5,5,3,"16163"
6,"spotify:track:4LRPiXqCikLlN15c3yImP7","Harry Styles","As It Was","Columbia",4,6,31,"14709"
7,"spotify:track:0HsRZwZzHoZ5AM5W2ZYI5c","BIG Naughty, 10cm","Beyond Love (Feat. 10CM)","H1GHR MUSIC RECORDS",6,7,12,"14706"
8,"spotify:track:2oBMZYteeO8DyXV9gDx6Za","Red Velvet","Feel My Rhythm","SM Entertainment",1,8,42,"13503"
9,"spotify:track:1jIMjbzcGCcCQn5iMu9CUc","Charlie Puth","That's Hilarious","Atlantic Records",5,9,24,"11836"
10,"spotify:track:4bZZVcgWWMWPBwzTTp642w","BTS","Filter","BIGHIT MUSIC",10,12,422,"10380"
11,"spotify:track:5quFr5s5PXYfUX5jV2EBZ1","Jay Park, IU","GANADARA (Feat. IU)","MORE VISION",1,11,52,"9846"
12,"spotify:track:3AVXwaOGCEL8cmBecfcsFJ","Charlie Puth","Light Switch","Atlantic Records",6,10,102,"9797"
13,"spotify:track:2X45nVBeYzmDlrXji9Av0Q","MeloMance","Love, Maybe","FLEX M",9,13,54,"9640"
14,"spotify:track:7M30L99pePlQ3wh8IxVUsD","Jimin, HA SUNG WOON","With you - Instrumental","Genie Music Corporation, Stone Music Entertainment",14,17,8,"9193"
15,"spotify:track:4IaxDf2FixiQXq0mW7key9","Jessi","ZOOM","P NATION",15,15,18,"9013"
16,"spotify:track:5PjdY0CKGZdEuoNab3yDmX","The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)","Columbia",1,14,297,"8834"
17,"spotify:track:7rXcCpIAoOUCydkVDMcoPV","TAEYEON","INVU","SM Entertainment",1,16,77,"8589"
18,"spotify:track:7n2FZQsaLb7ZRfRPfEeIvr","IVE","ELEVEN","STARSHIP Entertainment",1,18,152,"8076"
19,"spotify:track:1dS4l6xmdgEhCZTAhdOm4N","BTS","Serendipity - Full Length Edition","BIGHIT MUSIC",19,20,99,"7743"
20,"spotify:track:1nWB8isqs2tviWk20G5pow","BTS","Lie","BIGHIT MUSIC",20,22,30,"7741"
21,"spotify:track:3oiMjDZ1bShIpFfOQf55IW","BE'O","LOVE me","BPM ENTERTAINMENT, SWING ENTERTAINMENT, FameUs ENTERTAINMENT",15,19,20,"7521"
22,"spotify:track:1m2PksrrMpIev63uPxT1V0","NMIXX","O.O","JYP Entertainment",6,25,69,"7179"
23,"spotify:track:4zCIxSnVWpGNghERX4uWZF","YENA, BIBI","SMILEY(Feat. BIBI)","Genie Music Corporation, Stone Music Entertainment",3,24,104,"7016"
24,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",12,21,455,"7005"
25,"spotify:track:1mWdTewIgB3gtBM3TOSFhB","BTS","Butter","BIGHIT MUSIC",1,26,344,"6953"
26,"spotify:track:61RvEx7GLYRHQhG7ldjJo1","BTS","Intro: Serendipity","BIGHIT MUSIC",26,31,8,"6939"
27,"spotify:track:6I3mqTwhRpn34SLVafSH7G","Justin Bieber","Ghost","RBMG/Def Jam",14,23,247,"6923"
28,"spotify:track:1rDQ4oMwGJI7B4tovsBOxc","Jack Harlow","First Class","Generation Now/Atlantic",16,28,24,"6728"
29,"spotify:track:186NCtNk1tUYS7c2DxgJ7O","V","Christmas Tree","MOST CONTENTS",1,27,129,"6587"
30,"spotify:track:46HNZY1i7O6jwTA7Slo2PI","Coldplay, BTS","My Universe","Parlophone UK",1,29,220,"6436"
31,"spotify:track:7CAdT0HdiQNlt1C7xk2hep","Jung Kook","Stay Alive (Prod. SUGA of BTS)","BIGHIT MUSIC",1,30,80,"6218"
32,"spotify:track:3gFcGnU4kTdMYLXDjH1TK8","STAYC","RUN2U","High Up Entertainment",2,34,70,"6133"
33,"spotify:track:2DB4DdfCFMw1iaR6JaR03a","Camila Cabello, Ed Sheeran","Bam Bam (feat. Ed Sheeran)","Epic",17,32,59,"6099"
34,"spotify:track:2KdKh9vHbKW0tZLqtpxxI0","Justin Bieber, Don Toliver","Honest (feat. Don Toliver)","Justin Bieber 2021 PS/ Def Jam",34,36,3,"5936"
35,"spotify:track:2SLwbpExuoBDZBpjfefCtV","The Weeknd","Out of Time","XO / Republic Records",7,33,115,"5635"
36,"spotify:track:0hqngwyh8WnPuYlLYHRQqp","Kim MinSeok","DrunKen Confession","WM Korea",22,35,119,"5632"
37,"spotify:track:1t8sqIScEIP0B4bQzBuI2P","(G)I-DLE","MY BAG","Cube Entertainment",19,37,49,"5595"
38,"spotify:track:50nfwKoDiSYg8zOCREWAm5","Ed Sheeran","Shivers","Atlantic Records UK",4,38,234,"5546"
39,"spotify:track:5RjUtRlDonw3TBgGGMLC5b","BTS","Friends","BIGHIT MUSIC",15,47,243,"5464"
40,"spotify:track:2UN0lp72LAusrXi8LLVomt","Ed Sheeran, Lil Baby","2step (feat. Lil Baby)","Atlantic Records UK",40,40,10,"5430"
41,"spotify:track:6vo0dV9t7PCQZKsLFwVwZ5","SEVENTEEN","Darl+ing","PLEDIS Entertainment",7,43,17,"5375"
42,"spotify:track:3XYRV7ZSHqIRDG87DKTtry","BTS","Permission to Dance","BIGHIT MUSIC",1,41,297,"5361"
