rank;uri;artist_names;track_name;source;streams;date;country
1;spotify:track:7rglLriMNBPAyuJOMGwi39;Elton John, Dua Lipa, PNAU;Cold Heart - PNAU Remix;EMI;206749;2022-1-1;Canada
1;spotify:track:52xJxFP6TqMuO4Yt0eOkMz;Carolina Gaitán - La Gaita, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz, Encanto - Cast;We Don't Talk About Bruno;Walt Disney Records;160577;2022-2-1;Canada
1;spotify:track:02MWAaffLxlfxAUY7c5dvx;Glass Animals;Heat Waves;Polydor Records;149039;2022-3-1;Canada
1;spotify:track:4LRPiXqCikLlN15c3yImP7;Harry Styles;As It Was;Columbia;565106;2022-4-1;Canada
1;spotify:track:4LRPiXqCikLlN15c3yImP7;Harry Styles;As It Was;Columbia;259121;2022-5-1;Canada
1;spotify:track:75FEaRjZTKLhTrFGsfMUXR;Kate Bush;Running Up That Hill (A Deal With God);Parlophone UK;343516;2022-6-1;Canada
1;spotify:track:3F5CgOj3wFlRv51JsHbxhe;Drake, 21 Savage;Jimmy Cooks (feat. 21 Savage);OVO;238847;2022-7-1;Canada
1;spotify:track:4Dvkj6JhhA12EX05fT7y2e;Harry Styles;As It Was;Columbia;161415;2022-8-1;Canada
1;spotify:track:2yjlYDiNiQkdxVqTlaSrlX;Nicki Minaj;Super Freaky Girl;Republic Records;159913;2022-9-1;Canada
1;spotify:track:02MWAaffLxlfxAUY7c5dvx;Glass Animals;Heat Waves;Polydor Records;969368;2022-1-1;USA
1;spotify:track:52xJxFP6TqMuO4Yt0eOkMz;Carolina Gaitán - La Gaita, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz, Encanto - Cast;We Don't Talk About Bruno;Walt Disney Records;1416469;2022-2-1;USA
1;spotify:track:02MWAaffLxlfxAUY7c5dvx;Glass Animals;Heat Waves;Polydor Records;918442;2022-3-1;USA
1;spotify:track:4LRPiXqCikLlN15c3yImP7;Harry Styles;As It Was;Columbia;5953134;2022-4-1;USA
1;spotify:track:4LRPiXqCikLlN15c3yImP7;Harry Styles;As It Was;Columbia;1695777;2022-5-1;USA
1;spotify:track:75FEaRjZTKLhTrFGsfMUXR;Kate Bush;Running Up That Hill (A Deal With God);Parlophone UK;2375295;2022-6-1;USA
1;spotify:track:75FEaRjZTKLhTrFGsfMUXR;Kate Bush;Running Up That Hill (A Deal With God);Parlophone UK;1587163;2022-7-1;USA
1;spotify:track:4k6Uh1HXdhtusDW5y8Gbvy;Steve Lacy;Bad Habit;L-M Records/RCA Records;1582732;2022-8-1;USA
1;spotify:track:4k6Uh1HXdhtusDW5y8Gbvy;Steve Lacy;Bad Habit;L-M Records/RCA Records;1559644;2022-9-1;USA
1;spotify:track:0lJE8f0lx8mUSfMyxeYpiC;TINI, L-Gante;Bar;Sony Music Latin;578020;2022-1-1;Argentina
1;spotify:track:2Gq636OOGgxCTqEuzCZhsa;Bizarrap, Tiago PZK;Tiago PZK: Bzrp Music Sessions, Vol. 48;WEA Latina/DALE PLAY Records;380427;2022-2-1;Argentina
1;spotify:track:6mmPpaltUZK7xjNlBPQQ0p;Rauw Alejandro, Chencho Corleone;Desesperados;Sony Music Latin/Duars Entertainment;331948;2022-3-1;Argentina
1;spotify:track:2gpQi3hbcUAcEG8m2dlgfB;Paulo Londra;Plan A;WEA Latina;509052;2022-4-1;Argentina
1;spotify:track:2uky0VCI2EZni0nArOPznM;Bizarrap, Paulo Londra;Paulo Londra: Bzrp Music Sessions, Vol. 23;DALE PLAY Records / Paulo Londra;448515;2022-5-1;Argentina
1;spotify:track:7kYbxvrGXv8cmKjkqgqhrw;TINI;La Triple T;Sony Music Latin;353643;2022-6-1;Argentina
1;spotify:track:3k3NWokhRRkEPhCzPmV8TW;Bad Bunny, Bomba Estéreo;Ojitos Lindos;Rimas Entertainment LLC;373799;2022-7-1;Argentina
1;spotify:track:2tTmW7RDtMQtBk7m2rYeSw;Bizarrap, Quevedo;Quevedo: Bzrp Music Sessions, Vol. 52;DALE PLAY Records;855076;2022-8-1;Argentina
1;spotify:track:5ww2BF9slyYgNOk37BlC4u;Manuel Turizo;La Bachata;Sony Music Latin/La Industria;682294;2022-9-1;Argentina
1;spotify:track:1JpzJfxjHGFUyTHXLZidok;Ryan Castro, Feid;Monastery;UMLE - Latino;136178;2022-1-1;Colombia
1;spotify:track:1JpzJfxjHGFUyTHXLZidok;Ryan Castro, Feid;Monastery;UMLE - Latino;143375;2022-2-1;Colombia
1;spotify:track:1ri9ZUkBJVFUdgwzCnfcYs;Becky G, KAROL G;MAMIII;Kemosabe Records/RCA Records;127671;2022-3-1;Colombia
1;spotify:track:4srcMdbm2qzVG98tJajHxp;Alejo, Feid, ROBI;Pantysito;UMLE - Latino;146493;2022-4-1;Colombia
1;spotify:track:7dSZ6zGTQx66c2GF91xCrb;KAROL G;PROVENZA;UMLE - Latino;225877;2022-5-1;Colombia
1;spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx;Bad Bunny, Chencho Corleone;Me Porto Bonito;Rimas Entertainment LLC;293614;2022-6-1;Colombia
1;spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx;Bad Bunny, Chencho Corleone;Me Porto Bonito;Rimas Entertainment LLC;277180;2022-7-1;Colombia
1;spotify:track:2tTmW7RDtMQtBk7m2rYeSw;Bizarrap, Quevedo;Quevedo: Bzrp Music Sessions, Vol. 52;DALE PLAY Records;303382;2022-8-1;Colombia
1;spotify:track:2tTmW7RDtMQtBk7m2rYeSw;Bizarrap, Quevedo;Quevedo: Bzrp Music Sessions, Vol. 52;DALE PLAY Records;218872;2022-9-1;Colombia
1;spotify:track:2Gq636OOGgxCTqEuzCZhsa;Bizarrap, Tiago PZK;Tiago PZK: Bzrp Music Sessions, Vol. 48;WEA Latina/DALE PLAY Records;423792;2022-1-1;Spain
1;spotify:track:0Bv7O6fmZk3GrNQFYJaXPn;La Pantera, Quevedo, Juseph, Abhir Hathi, Bejo, Cruz Cafuné, EL IMA;Cayó La Noche (feat. Cruz Cafuné, Abhir Hathi, Bejo, EL IMA) [Remix];La Pantera;677740;2022-2-1;Spain
